z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
19.9	370.37	38973	0.0003159	0.00038845	1.54E-111	2.81E-112	0.20204	1.14E-10	0.015842	4.68E-05	7.2939	0.052357	3.92E-05	1.79E-08	0.041546	21.369	0.00062842	0.0022908	658.61	0.30205	0.027575	1.05E-06	0.33102	133.2435897	6.2939	4.69E-05	279.5	0.79881	0.0030479	5.1433	5.9486e-321	0.6437	3.28E-10	1.0084e-320	0.14159	609.141	450.19
20	370.337	38991	0.00031594	0.00038865	4.29E-112	7.71E-113	0.20206	1.14E-10	0.015135	4.63E-05	7.2967	0.05263	3.91E-05	1.80E-08	0.040986	20.883	0.0006168	0.0022912	658.72	0.3037	0.027685	1.00E-06	0.33204	133.1089744	6.294	4.69E-05	277.85	0.79866	0.0030535	5.1478	5.9733e-321	0.64427	3.29E-10	1.0123e-320	0.14206	609.895	450.19
20.1	370.293	39009	0.00031598	0.00038884	1.19E-112	2.11E-113	0.20208	1.14E-10	0.014468	4.58E-05	7.2995	0.052903	3.90E-05	1.81E-08	0.040435	20.407	0.0006054	0.0022915	658.82	0.30534	0.027794	9.62E-07	0.33306	132.974359	6.294	4.68E-05	276.22	0.79852	0.003059	5.1521	5.9881e-321	0.64483	3.31E-10	1.0163e-320	0.14253	610.636	450.19
20.2	370.26	39027	0.00031601	0.00038902	3.31E-113	5.78E-114	0.2021	1.14E-10	0.013839	4.54E-05	7.3023	0.053176	3.89E-05	1.82E-08	0.039892	19.943	0.00059421	0.0022919	658.93	0.30697	0.027902	9.24E-07	0.33408	132.8461538	6.294	4.68E-05	274.6	0.79838	0.0030644	5.1564	6.0078e-321	0.64539	3.32E-10	1.0202e-320	0.14299	611.377	450.19
20.3	370.227	39045	0.00031605	0.0003892	9.21E-114	1.58E-114	0.20211	1.14E-10	0.013245	4.49E-05	7.305	0.053449	3.88E-05	1.83E-08	0.039359	19.489	0.00058322	0.0022923	659.03	0.30859	0.02801	8.88E-07	0.33509	132.7115385	6.294	4.67E-05	273	0.79824	0.0030697	5.1606	6.0276e-321	0.64595	3.34E-10	1.0237e-320	0.14345	612.105	450.19
20.4	370.183	39062	0.00031608	0.00038937	2.56E-114	4.34E-115	0.20213	1.14E-10	0.012684	4.44E-05	7.3077	0.053723	3.87E-05	1.84E-08	0.038834	19.046	0.00057244	0.0022926	659.13	0.31019	0.028116	8.53E-07	0.3361	132.5833333	6.294	4.67E-05	271.42	0.79811	0.0030749	5.1648	6.0424e-321	0.6465	3.35E-10	1.0277e-320	0.14391	612.833	450.19
20.5	370.15	39080	0.00031611	0.00038954	7.12E-115	1.19E-115	0.20215	1.14E-10	0.012155	4.40E-05	7.3103	0.053996	3.87E-05	1.85E-08	0.038318	18.613	0.00056187	0.002293	659.23	0.31179	0.028222	8.21E-07	0.33711	132.4487179	6.294	4.66E-05	269.85	0.79798	0.00308	5.1689	6.0572e-321	0.64704	3.36E-10	1.0316e-320	0.14437	613.548	450.19
20.6	370.117	39097	0.00031614	0.0003897	1.98E-115	3.26E-116	0.20216	1.14E-10	0.011654	4.35E-05	7.3129	0.05427	3.86E-05	1.86E-08	0.037812	18.19	0.00055149	0.0022933	659.33	0.31337	0.028327	7.90E-07	0.33811	132.3205128	6.294	4.66E-05	268.29	0.79785	0.0030851	5.1729	6.0819e-321	0.64759	3.38E-10	1.0356e-320	0.14482	614.25	450.19
20.7	370.073	39114	0.00031617	0.00038986	5.50E-116	8.92E-117	0.20218	1.14E-10	0.01118	4.30E-05	7.3155	0.054543	3.85E-05	1.87E-08	0.037315	17.777	0.0005413	0.0022937	659.43	0.31494	0.028431	7.61E-07	0.3391	132.1923077	6.294	4.65E-05	266.76	0.79773	0.0030901	5.1769	6.0968e-321	0.64812	3.39E-10	1.039e-320	0.14527	614.952	450.19
20.8	370.04	39131	0.0003162	0.00039001	1.53E-116	2.44E-117	0.20219	1.14E-10	0.010732	4.26E-05	7.318	0.054817	3.84E-05	1.88E-08	0.036827	17.374	0.00053131	0.002294	659.53	0.3165	0.028534	7.33E-07	0.34009	132.0576923	6.294	4.65E-05	265.24	0.79761	0.003095	5.1808	6.1116e-321	0.64865	3.40E-10	1.043e-320	0.14572	615.641	450.19
20.9	370.007	39148	0.00031622	0.00039016	4.25E-117	6.70E-118	0.2022	1.14E-10	0.010307	4.21E-05	7.3205	0.055091	3.83E-05	1.89E-08	0.036349	16.98	0.00052151	0.0022943	659.63	0.31804	0.028636	7.07E-07	0.34107	131.9294872	6.294	4.65E-05	263.74	0.79749	0.0030998	5.1846	6.1264e-321	0.64918	3.42E-10	1.0464e-320	0.14616	616.317	450.19
21	369.974	39164	0.00031625	0.0003903	1.18E-117	1.84E-118	0.20222	1.14E-10	0.0099043	4.16E-05	7.323	0.055364	3.83E-05	1.90E-08	0.03588	16.596	0.0005119	0.0022947	659.73	0.31958	0.028737	6.82E-07	0.34205	131.8012821	6.294	4.64E-05	262.25	0.79738	0.0031045	5.1884	6.1363e-321	0.6497	3.43E-10	1.0499e-320	0.1466	616.993	450.19
21.1	369.941	39181	0.00031627	0.00039043	3.28E-118	5.03E-119	0.20223	1.14E-10	0.0095223	4.12E-05	7.3255	0.055638	3.82E-05	1.91E-08	0.035421	16.22	0.00050247	0.002295	659.82	0.3211	0.028838	6.58E-07	0.34301	131.6730769	6.294	4.64E-05	260.78	0.79727	0.0031091	5.1921	6.1561e-321	0.65022	3.44E-10	1.0533e-320	0.14704	617.656	450.19
21.2	369.897	39197	0.00031629	0.00039057	9.12E-119	1.38E-119	0.20224	1.14E-10	0.0091597	4.07E-05	7.3279	0.055912	3.81E-05	1.92E-08	0.034971	15.853	0.00049322	0.0022953	659.92	0.32261	0.028937	6.36E-07	0.34397	131.5448718	6.294	4.63E-05	259.32	0.79717	0.0031137	5.1957	6.1758e-321	0.65073	3.46E-10	1.0573e-320	0.14747	618.319	450.19
21.3	369.864	39213	0.00031631	0.0003907	2.54E-119	3.77E-120	0.20226	1.14E-10	0.0088154	4.03E-05	7.3303	0.056186	3.80E-05	1.93E-08	0.034531	15.495	0.00048415	0.0022957	660.01	0.32411	0.029036	6.14E-07	0.34492	131.4166667	6.294	4.63E-05	257.88	0.79707	0.0031181	5.1993	6.1906e-321	0.65124	3.47E-10	1.0613e-320	0.14791	618.969	450.19
21.4	369.831	39229	0.00031633	0.00039082	7.05E-120	1.03E-120	0.20227	1.14E-10	0.008488	3.98E-05	7.3326	0.05646	3.80E-05	1.94E-08	0.0341	15.145	0.00047525	0.002296	660.1	0.3256	0.029134	5.93E-07	0.34586	131.2948718	6.294	4.63E-05	256.46	0.79698	0.0031225	5.2028	6.2055e-321	0.65174	3.48E-10	1.0647e-320	0.14833	619.606	450.19
21.5	369.798	39245	0.00031635	0.00039094	1.96E-120	2.83E-121	0.20228	1.14E-10	0.0081767	3.93E-05	7.335	0.056734	3.79E-05	1.95E-08	0.033679	14.804	0.00046653	0.0022963	660.19	0.32707	0.02923	5.74E-07	0.34679	131.1666667	6.294	4.62E-05	255.06	0.79689	0.0031268	5.2062	6.2203e-321	0.65224	3.49E-10	1.0677e-320	0.14876	620.243	450.19
21.6	369.765	39261	0.00031637	0.00039105	5.45E-121	7.76E-122	0.20229	1.14E-10	0.0078804	3.89E-05	7.3373	0.057008	3.78E-05	1.96E-08	0.033268	14.471	0.00045797	0.0022966	660.28	0.32853	0.029326	5.55E-07	0.34772	131.0448718	6.294	4.62E-05	253.67	0.79681	0.003131	5.2096	6.2351e-321	0.65273	3.51E-10	1.0711e-320	0.14918	620.867	450.19
21.7	369.732	39276	0.00031638	0.00039116	1.51E-121	2.13E-122	0.20231	1.14E-10	0.0075982	3.84E-05	7.3396	0.057282	3.78E-05	1.97E-08	0.032867	14.145	0.00044959	0.0022969	660.37	0.32998	0.029421	5.37E-07	0.34863	130.9230769	6.294	4.62E-05	252.29	0.79673	0.0031351	5.2129	6.2499e-321	0.65322	3.52E-10	1.0746e-320	0.1496	621.478	450.19
21.8	369.699	39292	0.0003164	0.00039127	4.21E-122	5.82E-123	0.20232	1.14E-10	0.0073293	3.80E-05	7.3418	0.057556	3.77E-05	1.98E-08	0.032476	13.827	0.00044137	0.0022972	660.46	0.33141	0.029515	5.20E-07	0.34953	130.8012821	6.294	4.61E-05	250.93	0.79666	0.0031391	5.2162	6.2648e-321	0.6537	3.53E-10	1.0781e-320	0.15001	622.089	450.19
