z	 OMzt	 OMbzt	 DOM1zt	 DOM2zt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 OHzt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4
22.471	2.7376	196.26	0.000191	0.00045837	5.4365e-36	7.5111e-45	0.038623	4.0233e-09	1.242e-07	1.8616e-17	0.0014164	0.00010742	1.1435e-10	6.3139e-05	0.00051339	2.0431e-13	6.2896e-13	9.0684e-09	0.00022675	9.259e-13	1.9646e-05	1352.1	0	0.22535	8.7925	3.6459e-05	0.00036459	0.21416	2.3103e-05	0.72885	1.1378e-15	0.002716	0
22.588	2.7456	196.26	0.00019107	0.00045852	3.2505e-36	4.462e-45	0.038611	4.0233e-09	1.204e-07	1.8221e-17	0.0014169	0.00010388	1.1435e-10	6.1321e-05	0.000511	1.9669e-13	6.3087e-13	9.0954e-09	0.00022742	9.3522e-13	1.9705e-05	1356.1	0	0.22601	8.815	3.6459e-05	0.00036459	0.21395	2.3102e-05	0.72886	1.1378e-15	0.0027236	0
22.706	2.7534	196.26	0.00019114	0.00045868	1.9435e-36	2.6507e-45	0.0386	4.0232e-09	1.1672e-07	1.7832e-17	0.0014175	0.00010046	1.1435e-10	5.9555e-05	0.00050865	1.8937e-13	6.3275e-13	9.1221e-09	0.00022809	9.4447e-13	1.9763e-05	1360.1	0	0.22665	8.8373	3.6459e-05	0.00036459	0.21374	2.3102e-05	0.72888	1.1377e-15	0.0027312	0
22.824	2.7611	196.26	0.0001912	0.00045883	1.162e-36	1.5746e-45	0.038588	4.0232e-09	1.1315e-07	1.7449e-17	0.001418	9.7157e-05	1.1435e-10	5.7839e-05	0.00050634	1.8235e-13	6.3461e-13	9.1484e-09	0.00022875	9.5364e-13	1.9821e-05	1364	0	0.22728	8.8592	3.6459e-05	0.00036459	0.21354	2.3102e-05	0.72889	1.1377e-15	0.0027386	0
22.941	2.7687	196.26	0.00019127	0.00045899	6.9478e-37	9.3543e-46	0.038577	4.0232e-09	1.0969e-07	1.7071e-17	0.0014185	9.3967e-05	1.1435e-10	5.6174e-05	0.00050407	1.7561e-13	6.3644e-13	9.1743e-09	0.00022939	9.6272e-13	1.9877e-05	1367.8	0	0.22791	8.8808	3.6459e-05	0.00036459	0.21335	2.3102e-05	0.7289	1.1377e-15	0.002746	0
23.059	2.7762	196.27	0.00019133	0.00045914	4.1541e-37	5.5569e-46	0.038567	4.0232e-09	1.0634e-07	1.6699e-17	0.0014189	9.0886e-05	1.1435e-10	5.4557e-05	0.00050183	1.6914e-13	6.3825e-13	9.1998e-09	0.00023003	9.7173e-13	1.9933e-05	1371.6	0	0.22853	8.9021	3.6459e-05	0.00036459	0.21315	2.3102e-05	0.72891	1.1377e-15	0.0027532	0
23.176	2.7836	196.27	0.0001914	0.00045929	2.4838e-37	3.3011e-46	0.038556	4.0232e-09	1.031e-07	1.6333e-17	0.0014194	8.7911e-05	1.1435e-10	5.2987e-05	0.00049963	1.6292e-13	6.4003e-13	9.225e-09	0.00023066	9.8064e-13	1.9988e-05	1375.4	0	0.22913	8.9231	3.6459e-05	0.00036459	0.21297	2.3102e-05	0.72892	1.1377e-15	0.0027604	0
23.294	2.7909	196.27	0.00019146	0.00045943	1.4851e-37	1.961e-46	0.038546	4.0232e-09	9.9959e-08	1.5973e-17	0.0014199	8.5037e-05	1.1435e-10	5.1463e-05	0.00049747	1.5695e-13	6.4178e-13	9.2498e-09	0.00023128	9.8947e-13	2.0042e-05	1379.1	0	0.22973	8.9438	3.6459e-05	0.00036459	0.21278	2.3102e-05	0.72893	1.1377e-15	0.0027675	0
23.412	2.7981	196.27	0.00019152	0.00045958	8.8792e-38	1.165e-46	0.038536	4.0231e-09	9.6914e-08	1.5619e-17	0.0014203	8.2263e-05	1.1435e-10	4.9985e-05	0.00049534	1.5122e-13	6.4351e-13	9.2742e-09	0.00023189	9.9821e-13	2.0095e-05	1382.7	0	0.23032	8.9641	3.6459e-05	0.00036459	0.2126	2.3102e-05	0.72894	1.1377e-15	0.0027744	0
23.529	2.8051	196.27	0.00019158	0.00045972	5.3089e-38	6.9205e-47	0.038527	4.0231e-09	9.3965e-08	1.527e-17	0.0014207	7.9584e-05	1.1435e-10	4.855e-05	0.00049326	1.4571e-13	6.452e-13	9.2982e-09	0.00023249	1.0069e-12	2.0148e-05	1386.2	0	0.2309	8.9841	3.6459e-05	0.00036459	0.21243	2.3102e-05	0.72895	1.1377e-15	0.0027813	0
23.647	2.8121	196.27	0.00019165	0.00045986	3.1742e-38	4.1112e-47	0.038517	4.0231e-09	9.1108e-08	1.4927e-17	0.0014212	7.6998e-05	1.1435e-10	4.7159e-05	0.00049121	1.4042e-13	6.4688e-13	9.3219e-09	0.00023309	1.0154e-12	2.0199e-05	1389.8	0	0.23147	9.0038	3.6459e-05	0.00036459	0.21226	2.3101e-05	0.72896	1.1377e-15	0.0027881	0
23.765	2.8189	196.28	0.0001917	0.00046	1.8979e-38	2.4423e-47	0.038508	4.0231e-09	8.834e-08	1.459e-17	0.0014216	7.4501e-05	1.1435e-10	4.581e-05	0.0004892	1.3533e-13	6.4852e-13	9.3451e-09	0.00023367	1.0238e-12	2.025e-05	1393.2	0	0.23203	9.0232	3.6459e-05	0.00036459	0.21209	2.3101e-05	0.72897	1.1377e-15	0.0027947	0
23.882	2.8256	196.28	0.00019176	0.00046014	1.1347e-38	1.4508e-47	0.038499	4.0231e-09	8.5658e-08	1.4258e-17	0.001422	7.2092e-05	1.1435e-10	4.4501e-05	0.00048722	1.3045e-13	6.5014e-13	9.368e-09	0.00023424	1.0322e-12	2.03e-05	1396.6	0	0.23258	9.0422	3.6459e-05	0.00036459	0.21193	2.3101e-05	0.72898	1.1377e-15	0.0028013	0
24	2.8323	196.28	0.00019182	0.00046027	6.7847e-39	8.6187e-48	0.038491	4.0231e-09	8.3059e-08	1.3932e-17	0.0014224	6.9766e-05	1.1435e-10	4.3233e-05	0.00048528	1.2576e-13	6.5173e-13	9.3905e-09	0.0002348	1.0404e-12	2.0349e-05	1399.9	0	0.23312	9.0609	3.6459e-05	0.00036459	0.21177	2.3101e-05	0.72898	1.1377e-15	0.0028077	0
24.118	2.8388	196.28	0.00019188	0.0004604	4.0566e-39	5.12e-48	0.038482	4.0231e-09	8.0542e-08	1.3612e-17	0.0014228	6.7522e-05	1.1435e-10	4.2003e-05	0.00048338	1.2125e-13	6.5329e-13	9.4125e-09	0.00023535	1.0486e-12	2.0397e-05	1403.2	0	0.23365	9.0793	3.6459e-05	0.00036459	0.21162	2.3101e-05	0.72899	1.1377e-15	0.0028141	0
24.235	2.8451	196.28	0.00019193	0.00046053	2.4255e-39	3.0416e-48	0.038474	4.0231e-09	7.8102e-08	1.3297e-17	0.0014231	6.5357e-05	1.1435e-10	4.0812e-05	0.00048152	1.1692e-13	6.5482e-13	9.4342e-09	0.0002359	1.0566e-12	2.0444e-05	1406.4	0	0.23418	9.0974	3.6459e-05	0.00036459	0.21147	2.3101e-05	0.729	1.1377e-15	0.0028203	0
24.353	2.8514	196.29	0.00019199	0.00046066	1.4502e-39	1.8068e-48	0.038466	4.0231e-09	7.5738e-08	1.2988e-17	0.0014235	6.3268e-05	1.1435e-10	3.9658e-05	0.0004797	1.1275e-13	6.5633e-13	9.4555e-09	0.00023643	1.0645e-12	2.0491e-05	1409.6	0	0.23469	9.1151	3.6459e-05	0.00036459	0.21132	2.3101e-05	0.72901	1.1377e-15	0.0028264	0
24.471	2.8576	196.29	0.00019204	0.00046078	8.6707e-40	1.0734e-48	0.038458	4.023e-09	7.3448e-08	1.2684e-17	0.0014239	6.1253e-05	1.1435e-10	3.854e-05	0.00047791	1.0875e-13	6.5781e-13	9.4764e-09	0.00023695	1.0723e-12	2.0536e-05	1412.7	0	0.23519	9.1325	3.6459e-05	0.00036459	0.21118	2.3101e-05	0.72902	1.1377e-15	0.0028324	0
24.588	2.8636	196.29	0.00019209	0.0004609	5.1843e-40	6.3764e-49	0.038451	4.023e-09	7.1229e-08	1.2386e-17	0.0014242	5.9309e-05	1.1435e-10	3.7458e-05	0.00047616	1.049e-13	6.5925e-13	9.4969e-09	0.00023746	1.08e-12	2.0581e-05	1415.7	0	0.23569	9.1495	3.6459e-05	0.00036459	0.21104	2.3101e-05	0.72902	1.1377e-15	0.0028383	0
24.706	2.8695	196.29	0.00019214	0.00046102	3.0997e-40	3.7879e-49	0.038443	4.023e-09	6.9078e-08	1.2094e-17	0.0014245	5.7436e-05	1.1435e-10	3.641e-05	0.00047444	1.0121e-13	6.6068e-13	9.517e-09	0.00023796	1.0875e-12	2.0625e-05	1418.7	0	0.23617	9.1662	3.6459e-05	0.00036459	0.2109	2.3101e-05	0.72903	1.1377e-15	0.0028441	0
24.824	2.8753	196.3	0.00019219	0.00046114	1.8533e-40	2.2502e-49	0.038436	4.023e-09	6.6994e-08	1.1806e-17	0.0014249	5.5629e-05	1.1435e-10	3.5396e-05	0.00047277	9.765e-14	6.6207e-13	9.5366e-09	0.00023846	1.0949e-12	2.0668e-05	1421.6	0	0.23665	9.1826	3.6459e-05	0.00036459	0.21077	2.3101e-05	0.72904	1.1377e-15	0.0028498	0
24.941	2.881	196.3	0.00019224	0.00046126	1.1081e-40	1.3368e-49	0.038429	4.023e-09	6.4975e-08	1.1524e-17	0.0014252	5.3888e-05	1.1435e-10	3.4416e-05	0.00047113	9.4231e-14	6.6343e-13	9.5559e-09	0.00023894	1.1022e-12	2.071e-05	1424.5	0	0.23711	9.1986	3.6459e-05	0.00036459	0.21064	2.31e-05	0.72905	1.1377e-15	0.0028554	0
25.059	2.8865	196.3	0.00019229	0.00046137	6.6254e-41	7.941e-50	0.038422	4.023e-09	6.3018e-08	1.1248e-17	0.0014255	5.221e-05	1.1434e-10	3.3468e-05	0.00046953	9.0943e-14	6.6477e-13	9.5748e-09	0.00023941	1.1094e-12	2.0751e-05	1427.3	0	0.23756	9.2143	3.6459e-05	0.00036459	0.21052	2.31e-05	0.72905	1.1377e-15	0.0028609	0
25.176	2.892	196.3	0.00019234	0.00046148	3.9613e-41	4.7174e-50	0.038416	4.023e-09	6.1122e-08	1.0976e-17	0.0014258	5.0593e-05	1.1434e-10	3.2551e-05	0.00046796	8.7782e-14	6.6607e-13	9.5932e-09	0.00023987	1.1165e-12	2.0791e-05	1430	0	0.23801	9.2296	3.6459e-05	0.00036459	0.2104	2.31e-05	0.72906	1.1377e-15	0.0028662	0
25.294	2.8973	196.31	0.00019238	0.00046158	2.3685e-41	2.8024e-50	0.03841	4.023e-09	5.9284e-08	1.071e-17	0.0014261	4.9036e-05	1.1434e-10	3.1665e-05	0.00046644	8.4741e-14	6.6735e-13	9.6113e-09	0.00024032	1.1234e-12	2.083e-05	1432.7	0	0.23844	9.2446	3.6459e-05	0.00036459	0.21028	2.31e-05	0.72906	1.1377e-15	0.0028714	0
25.412	2.9025	196.31	0.00019243	0.00046169	1.4161e-41	1.6648e-50	0.038403	4.023e-09	5.7503e-08	1.0449e-17	0.0014264	4.7536e-05	1.1434e-10	3.0809e-05	0.00046495	8.1816e-14	6.686e-13	9.6289e-09	0.00024076	1.1302e-12	2.0869e-05	1435.3	0	0.23887	9.2593	3.6459e-05	0.00036459	0.21017	2.31e-05	0.72907	1.1377e-15	0.0028766	0
25.529	2.9076	196.31	0.00019247	0.00046179	8.4671e-42	9.8896e-51	0.038397	4.023e-09	5.5777e-08	1.0193e-17	0.0014266	4.6093e-05	1.1434e-10	2.9983e-05	0.0004635	7.9002e-14	6.6982e-13	9.6461e-09	0.00024119	1.1368e-12	2.0906e-05	1437.9	0	0.23928	9.2736	3.6459e-05	0.00036459	0.21005	2.31e-05	0.72908	1.1377e-15	0.0028816	0
25.647	2.9125	196.32	0.00019251	0.00046189	5.0625e-42	5.875e-51	0.038392	4.023e-09	5.4104e-08	9.9424e-18	0.0014269	4.4704e-05	1.1434e-10	2.9186e-05	0.00046208	7.6296e-14	6.71e-13	9.6629e-09	0.00024161	1.1433e-12	2.0943e-05	1440.4	0	0.23969	9.2875	3.6459e-05	0.00036459	0.20995	2.31e-05	0.72908	1.1377e-15	0.0028865	0
25.765	2.9173	196.32	0.00019256	0.00046199	3.0269e-42	3.4901e-51	0.038386	4.023e-09	5.2482e-08	9.6964e-18	0.0014272	4.3367e-05	1.1434e-10	2.8417e-05	0.0004607	7.3691e-14	6.7216e-13	9.6793e-09	0.00024202	1.1497e-12	2.0979e-05	1442.8	0	0.24008	9.3011	3.6459e-05	0.00036459	0.20984	2.31e-05	0.72909	1.1376e-15	0.0028912	0
25.882	2.922	196.32	0.0001926	0.00046208	1.8098e-42	2.0733e-51	0.038381	4.023e-09	5.0911e-08	9.4554e-18	0.0014274	4.2082e-05	1.1434e-10	2.7676e-05	0.00045936	7.1186e-14	6.7329e-13	9.6952e-09	0.00024242	1.1559e-12	2.1014e-05	1445.2	0	0.24046	9.3144	3.6459e-05	0.00036459	0.20974	2.31e-05	0.72909	1.1376e-15	0.0028959	0
26	2.9266	196.32	0.00019264	0.00046217	1.0821e-42	1.2316e-51	0.038375	4.0229e-09	4.9388e-08	9.2193e-18	0.0014276	4.0847e-05	1.1434e-10	2.6961e-05	0.00045806	6.8774e-14	6.7439e-13	9.7107e-09	0.00024281	1.162e-12	2.1048e-05	1447.5	0	0.24084	9.3273	3.6459e-05	0.00036459	0.20964	2.31e-05	0.7291	1.1376e-15	0.0029004	0
26.118	2.9311	196.33	0.00019267	0.00046226	6.4698e-43	7.3166e-52	0.03837	4.0229e-09	4.7911e-08	8.9879e-18	0.0014279	3.9661e-05	1.1434e-10	2.6273e-05	0.0004568	6.6453e-14	6.7546e-13	9.7258e-09	0.00024319	1.1679e-12	2.108e-05	1449.7	0	0.2412	9.3399	3.6459e-05	0.00036459	0.20955	2.31e-05	0.7291	1.1376e-15	0.0029048	0
26.235	2.9354	196.33	0.00019271	0.00046235	3.8683e-43	4.3465e-52	0.038366	4.0229e-09	4.6481e-08	8.7613e-18	0.0014281	3.8521e-05	1.1434e-10	2.5611e-05	0.00045557	6.422e-14	6.765e-13	9.7405e-09	0.00024356	1.1737e-12	2.1113e-05	1451.9	0	0.24155	9.352	3.6459e-05	0.00036459	0.20946	2.31e-05	0.72911	1.1376e-15	0.0029091	0
26.353	2.9396	196.33	0.00019275	0.00046243	2.3129e-43	2.582e-52	0.038361	4.0229e-09	4.5094e-08	8.5394e-18	0.0014283	3.7428e-05	1.1434e-10	2.4975e-05	0.00045438	6.2069e-14	6.7751e-13	9.7548e-09	0.00024391	1.1793e-12	2.1144e-05	1454	0	0.2419	9.3639	3.6459e-05	0.00036459	0.20937	2.31e-05	0.72911	1.1376e-15	0.0029133	0
26.471	2.9437	196.34	0.00019278	0.00046251	1.3829e-43	1.5339e-52	0.038356	4.0229e-09	4.3749e-08	8.3221e-18	0.0014285	3.6379e-05	1.1434e-10	2.4363e-05	0.00045322	5.9999e-14	6.7849e-13	9.7686e-09	0.00024426	1.1848e-12	2.1174e-05	1456.1	0	0.24223	9.3754	3.6459e-05	0.00036459	0.20929	2.31e-05	0.72912	1.1376e-15	0.0029173	0
26.588	2.9476	196.34	0.00019281	0.00046259	8.2683e-44	9.112e-53	0.038352	4.0229e-09	4.2446e-08	8.1094e-18	0.0014287	3.5374e-05	1.1434e-10	2.3776e-05	0.00045211	5.8007e-14	6.7944e-13	9.782e-09	0.00024459	1.1901e-12	2.1203e-05	1458.1	0	0.24255	9.3865	3.6459e-05	0.00036459	0.2092	2.31e-05	0.72912	1.1376e-15	0.0029212	0
26.706	2.9515	196.34	0.00019285	0.00046267	4.9437e-44	5.413e-53	0.038348	4.0229e-09	4.1183e-08	7.9011e-18	0.0014289	3.4411e-05	1.1434e-10	2.3213e-05	0.00045103	5.6088e-14	6.8035e-13	9.7949e-09	0.00024492	1.1953e-12	2.1231e-05	1460	0	0.24286	9.3972	3.6459e-05	0.00036459	0.20912	2.31e-05	0.72913	1.1376e-15	0.002925	0
26.824	2.9552	196.34	0.00019288	0.00046274	2.9558e-44	3.2156e-53	0.038344	4.0229e-09	3.9958e-08	7.6973e-18	0.0014291	3.3489e-05	1.1434e-10	2.2673e-05	0.00044999	5.424e-14	6.8124e-13	9.8075e-09	0.00024523	1.2003e-12	2.1259e-05	1461.8	0	0.24317	9.4076	3.6459e-05	0.00036459	0.20905	2.31e-05	0.72913	1.1376e-15	0.0029287	0
26.941	2.9587	196.35	0.00019291	0.00046281	1.7673e-44	1.9103e-53	0.03834	4.0229e-09	3.8771e-08	7.4978e-18	0.0014293	3.2608e-05	1.1434e-10	2.2157e-05	0.00044898	5.246e-14	6.821e-13	9.8195e-09	0.00024553	1.2051e-12	2.1285e-05	1463.6	0	0.24346	9.4177	3.6459e-05	0.00036459	0.20898	2.31e-05	0.72913	1.1376e-15	0.0029322	0
27.059	2.9622	196.35	0.00019294	0.00046288	1.0567e-44	1.1348e-53	0.038336	4.0229e-09	3.762e-08	7.3027e-18	0.0014294	3.1767e-05	1.1434e-10	2.1663e-05	0.00044802	5.0746e-14	6.8292e-13	9.8312e-09	0.00024582	1.2098e-12	2.131e-05	1465.4	0	0.24374	9.4273	3.6459e-05	0.00036459	0.20891	2.31e-05	0.72914	1.1376e-15	0.0029356	0
27.176	2.9655	196.35	0.00019297	0.00046294	6.3179e-45	6.7413e-54	0.038332	4.0229e-09	3.6504e-08	7.1117e-18	0.0014296	3.0964e-05	1.1434e-10	2.1191e-05	0.00044709	4.9095e-14	6.8372e-13	9.8424e-09	0.0002461	1.2143e-12	2.1335e-05	1467	0	0.24401	9.4367	3.6459e-05	0.00036459	0.20884	2.31e-05	0.72914	1.1376e-15	0.0029389	0
27.294	2.9687	196.35	0.00019299	0.000463	3.7775e-45	4.0047e-54	0.038329	4.0229e-09	3.5423e-08	6.925e-18	0.0014298	3.0199e-05	1.1434e-10	2.0742e-05	0.00044619	4.7504e-14	6.8448e-13	9.8532e-09	0.00024637	1.2186e-12	2.1358e-05	1468.6	0	0.24427	9.4456	3.6459e-05	0.00036459	0.20877	2.31e-05	0.72914	1.1376e-15	0.0029421	0
27.412	2.9717	196.36	0.00019302	0.00046306	2.2586e-45	2.379e-54	0.038326	4.0229e-09	3.4374e-08	6.7423e-18	0.0014299	2.9471e-05	1.1434e-10	2.0314e-05	0.00044534	4.5972e-14	6.8521e-13	9.8635e-09	0.00024663	1.2228e-12	2.1381e-05	1470.2	0	0.24451	9.4542	3.6459e-05	0.00036459	0.20871	2.31e-05	0.72915	1.1376e-15	0.0029451	0
27.529	2.9746	196.36	0.00019304	0.00046312	1.3504e-45	1.4133e-54	0.038323	4.0229e-09	3.3357e-08	6.5637e-18	0.0014301	2.8779e-05	1.1434e-10	1.9907e-05	0.00044452	4.4495e-14	6.8591e-13	9.8734e-09	0.00024688	1.2268e-12	2.1402e-05	1471.6	0	0.24475	9.4624	3.6459e-05	0.00036459	0.20865	2.31e-05	0.72915	1.1376e-15	0.002948	0
27.647	2.9774	196.36	0.00019307	0.00046317	8.0742e-46	8.3955e-55	0.03832	4.0229e-09	3.2372e-08	6.3891e-18	0.0014302	2.8123e-05	1.1434e-10	1.9521e-05	0.00044374	4.3072e-14	6.8658e-13	9.8828e-09	0.00024711	1.2307e-12	2.1423e-05	1473	0	0.24498	9.4702	3.6459e-05	0.00036459	0.2086	2.31e-05	0.72915	1.1376e-15	0.0029508	0
27.765	2.9801	196.36	0.00019309	0.00046323	4.8276e-46	4.9874e-55	0.038317	4.0229e-09	3.1416e-08	6.2184e-18	0.0014303	2.7501e-05	1.1434e-10	1.9156e-05	0.000443	4.17e-14	6.8722e-13	9.8918e-09	0.00024734	1.2343e-12	2.1443e-05	1474.4	0	0.24519	9.4777	3.6459e-05	0.00036459	0.20855	2.31e-05	0.72916	1.1376e-15	0.0029535	0
27.882	2.9826	196.36	0.00019311	0.00046328	2.8864e-46	2.9628e-55	0.038314	4.0229e-09	3.0489e-08	6.0515e-18	0.0014304	2.6914e-05	1.1434e-10	1.8811e-05	0.0004423	4.0378e-14	6.8782e-13	9.9003e-09	0.00024755	1.2378e-12	2.1461e-05	1475.6	0	0.2454	9.4847	3.6459e-05	0.00036459	0.2085	2.3099e-05	0.72916	1.1376e-15	0.002956	0
28	2.985	196.37	0.00019313	0.00046332	1.7258e-46	1.7601e-55	0.038312	4.0229e-09	2.9591e-08	5.8885e-18	0.0014306	2.6361e-05	1.1434e-10	1.8486e-05	0.00044163	3.9104e-14	6.8839e-13	9.9084e-09	0.00024776	1.2411e-12	2.1479e-05	1476.8	0	0.24559	9.4915	3.6459e-05	0.00036459	0.20845	2.3099e-05	0.72916	1.1376e-15	0.0029584	0
28.118	2.9872	196.37	0.00019315	0.00046337	1.0319e-46	1.0456e-55	0.03831	4.0229e-09	2.8719e-08	5.7291e-18	0.0014307	2.5842e-05	1.1434e-10	1.8181e-05	0.000441	3.7876e-14	6.8894e-13	9.916e-09	0.00024795	1.2442e-12	2.1496e-05	1478	0	0.24578	9.4978	3.6459e-05	0.00036459	0.2084	2.3099e-05	0.72916	1.1376e-15	0.0029606	0
28.235	2.9894	196.37	0.00019316	0.00046341	6.1696e-47	6.2112e-56	0.038307	4.0229e-09	2.7875e-08	5.5734e-18	0.0014308	2.5355e-05	1.1434e-10	1.7895e-05	0.00044041	3.6691e-14	6.8944e-13	9.9232e-09	0.00024813	1.2472e-12	2.1511e-05	1479	0	0.24595	9.5038	3.6459e-05	0.00036459	0.20836	2.3099e-05	0.72917	1.1376e-15	0.0029627	0
28.353	2.9914	196.37	0.00019318	0.00046345	3.6888e-47	3.6898e-56	0.038305	4.0229e-09	2.7055e-08	5.4213e-18	0.0014309	2.49e-05	1.1434e-10	1.7629e-05	0.00043985	3.5549e-14	6.8992e-13	9.93e-09	0.00024829	1.25e-12	2.1526e-05	1480	0	0.24611	9.5094	3.6459e-05	0.00036459	0.20832	2.3099e-05	0.72917	1.1376e-15	0.0029647	0
28.471	2.9932	196.37	0.0001932	0.00046348	2.2056e-47	2.1919e-56	0.038303	4.0229e-09	2.6261e-08	5.2727e-18	0.001431	2.4478e-05	1.1434e-10	1.7382e-05	0.00043934	3.4447e-14	6.9037e-13	9.9362e-09	0.00024845	1.2525e-12	2.154e-05	1481	0	0.24626	9.5146	3.6459e-05	0.00036459	0.20829	2.3099e-05	0.72917	1.1376e-15	0.0029666	0
28.588	2.9949	196.37	0.00019321	0.00046351	1.3187e-47	1.3021e-56	0.038302	4.0229e-09	2.5491e-08	5.1276e-18	0.001431	2.4087e-05	1.1434e-10	1.7155e-05	0.00043886	3.3385e-14	6.9078e-13	9.942e-09	0.0002486	1.255e-12	2.1552e-05	1481.8	0	0.2464	9.5194	3.6459e-05	0.00036459	0.20825	2.3099e-05	0.72917	1.1376e-15	0.0029683	0
28.706	2.9965	196.38	0.00019322	0.00046354	7.8847e-48	7.7355e-57	0.0383	4.0229e-09	2.4744e-08	4.9859e-18	0.0014311	2.3728e-05	1.1434e-10	1.6946e-05	0.00043842	3.236e-14	6.9116e-13	9.9474e-09	0.00024873	1.2572e-12	2.1564e-05	1482.6	0	0.24653	9.5238	3.6459e-05	0.00036459	0.20822	2.3099e-05	0.72917	1.1376e-15	0.0029699	0
28.824	2.998	196.38	0.00019324	0.00046357	4.7144e-48	4.5954e-57	0.038299	4.0229e-09	2.4019e-08	4.8476e-18	0.0014312	2.3401e-05	1.1434e-10	1.6755e-05	0.00043802	3.1371e-14	6.9151e-13	9.9523e-09	0.00024885	1.2592e-12	2.1575e-05	1483.4	0	0.24665	9.5279	3.6459e-05	0.00036459	0.2082	2.3099e-05	0.72918	1.1376e-15	0.0029713	0
28.941	2.9993	196.38	0.00019325	0.0004636	2.8189e-48	2.73e-57	0.038297	4.0229e-09	2.3317e-08	4.7125e-18	0.0014312	2.3104e-05	1.1434e-10	1.6583e-05	0.00043765	3.0418e-14	6.9182e-13	9.9567e-09	0.00024896	1.261e-12	2.1584e-05	1484	0	0.24676	9.5316	3.6459e-05	0.00036459	0.20817	2.3099e-05	0.72918	1.1376e-15	0.0029727	0
29.059	3.0005	196.38	0.00019326	0.00046362	1.6857e-48	1.622e-57	0.038296	4.0229e-09	2.2635e-08	4.5806e-18	0.0014313	2.2839e-05	1.1434e-10	1.643e-05	0.00043732	2.9497e-14	6.921e-13	9.9607e-09	0.00024906	1.2627e-12	2.1593e-05	1484.6	0	0.24685	9.5349	3.6459e-05	0.00036459	0.20815	2.3099e-05	0.72918	1.1376e-15	0.0029738	0
29.176	3.0015	196.38	0.00019326	0.00046364	1.0084e-48	9.6401e-58	0.038295	4.0229e-09	2.1974e-08	4.4519e-18	0.0014314	2.2605e-05	1.1434e-10	1.6295e-05	0.00043704	2.8609e-14	6.9235e-13	9.9642e-09	0.00024915	1.2642e-12	2.1601e-05	1485.1	0	0.24694	9.5378	3.6459e-05	0.00036459	0.20813	2.3099e-05	0.72918	1.1376e-15	0.0029749	0
29.294	3.0024	196.38	0.00019327	0.00046366	6.0373e-49	5.7339e-58	0.038294	4.0229e-09	2.1334e-08	4.3264e-18	0.0014314	2.2401e-05	1.1434e-10	1.6178e-05	0.00043679	2.7753e-14	6.9257e-13	9.9673e-09	0.00024923	1.2654e-12	2.1607e-05	1485.6	0	0.24701	9.5403	3.6459e-05	0.00036459	0.20811	2.3099e-05	0.72918	1.1376e-15	0.0029758	0
29.412	3.0032	196.38	0.00019328	0.00046367	3.6232e-49	3.4183e-58	0.038293	4.0229e-09	2.0713e-08	4.2039e-18	0.0014314	2.2229e-05	1.1434e-10	1.6079e-05	0.00043657	2.6928e-14	6.9275e-13	9.9699e-09	0.00024929	1.2665e-12	2.1613e-05	1486	0	0.24707	9.5425	3.6459e-05	0.00036459	0.2081	2.3099e-05	0.72918	1.1376e-15	0.0029766	0
29.529	3.0038	196.38	0.00019328	0.00046368	2.1889e-49	2.0509e-58	0.038293	4.0229e-09	2.0111e-08	4.0847e-18	0.0014315	2.2087e-05	1.1434e-10	1.5998e-05	0.0004364	2.6138e-14	6.929e-13	9.972e-09	0.00024935	1.2674e-12	2.1618e-05	1486.3	0	0.24712	9.5442	3.6459e-05	0.00036459	0.20808	2.3099e-05	0.72918	1.1376e-15	0.0029772	0
29.647	3.0043	196.38	0.00019329	0.00046369	1.3466e-49	1.2525e-58	0.038292	4.0229e-09	1.9532e-08	3.9692e-18	0.0014315	2.1977e-05	1.1434e-10	1.5935e-05	0.00043627	2.5391e-14	6.9302e-13	9.9736e-09	0.00024939	1.2681e-12	2.1621e-05	1486.5	0	0.24716	9.5456	3.6459e-05	0.00036459	0.20807	2.3099e-05	0.72918	1.1376e-15	0.0029777	0
29.765	3.0046	196.38	0.00019329	0.0004637	8.6834e-50	8.0146e-59	0.038292	4.0229e-09	1.8986e-08	3.8597e-18	0.0014315	2.1898e-05	1.1434e-10	1.5891e-05	0.00043617	2.4715e-14	6.931e-13	9.9748e-09	0.00024942	1.2686e-12	2.1624e-05	1486.7	0	0.24719	9.5466	3.6459e-05	0.00036459	0.20807	2.3099e-05	0.72918	1.1376e-15	0.002978	0
29.882	3.0048	196.38	0.00019329	0.0004637	6.2491e-50	5.7279e-59	0.038292	4.0229e-09	1.8509e-08	3.7636e-18	0.0014315	2.1851e-05	1.1434e-10	1.5864e-05	0.00043611	2.418e-14	6.9315e-13	9.9755e-09	0.00024943	1.2689e-12	2.1625e-05	1486.8	0	0.24721	9.5472	3.6459e-05	0.00036459	0.20806	2.3099e-05	0.72918	1.1376e-15	0.0029782	-0
