z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
9.6	375.947	36433	0.00029445	0.00032507	2.88E-54	2.33E-54	0.19351	1.09E-10	21.675	0.0005068	6.4648	0.024627	1.98E-05	7.62E-09	0.050016	211.47	0.0036917	0.0022366	642.98	0.11911	0.013185	0.00096616	0.35795	72.85612533	6.2935	4.87E-05	243.513	0.70167	0.0025177	4.3538	3.5573e-321	0.56523	1.40E-10	5.326e-321	0.090651	244.66	450.23
9.7	375.881	36462	0.00029488	0.00032612	8.00E-55	6.38E-55	0.19373	1.09E-10	20.192	0.00048241	6.4837	0.024892	2.04E-05	7.71E-09	0.051376	207.62	0.0036432	0.0022372	643.17	0.12069	0.013337	0.00090352	0.35586	73.0128205	6.2935	4.88E-05	241.956	0.70509	0.0025172	4.3642	3.5919e-321	0.56608	1.42E-10	5.3804e-321	0.091091	245.4595	450.23
9.8	375.804	36491	0.0002953	0.00032717	2.22E-55	1.75E-55	0.19394	1.09E-10	18.799	0.00045923	6.5021	0.025156	2.10E-05	7.81E-09	0.052732	203.8	0.0035948	0.0022379	643.37	0.12228	0.01349	0.00084438	0.35376	73.16239317	6.2935	4.89E-05	240.408	0.70848	0.0025167	4.3744	3.6264e-321	0.56694	1.44E-10	5.4347e-321	0.091532	246.2525	450.23
9.9	375.738	36520	0.00029572	0.00032821	6.18E-56	4.79E-56	0.19415	1.09E-10	17.491	0.00043722	6.5202	0.025421	2.15E-05	7.91E-09	0.054082	200.02	0.0035465	0.0022386	643.56	0.12387	0.013642	0.00078861	0.35165	73.31552706	6.2935	4.91E-05	238.8645	0.71183	0.0025163	4.3846	3.6561e-321	0.56779	1.46E-10	5.4891e-321	0.091976	247.039	450.23
10	375.672	36549	0.00029614	0.00032924	1.72E-56	1.31E-56	0.19435	1.09E-10	16.264	0.00041633	6.538	0.025685	2.21E-05	8.00E-09	0.055422	196.27	0.0034983	0.0022392	643.75	0.12546	0.013795	0.00073607	0.34954	73.46509972	6.2935	4.92E-05	237.3345	0.71514	0.0025159	4.3947	3.6956e-321	0.56865	1.48E-10	5.5385e-321	0.092421	247.819	450.22
10.1	375.606	36579	0.00029655	0.00033027	4.78E-57	3.60E-57	0.19455	1.09E-10	15.114	0.00039653	6.5553	0.02595	2.27E-05	8.10E-09	0.056747	192.55	0.0034502	0.0022399	643.94	0.12706	0.013947	0.00068661	0.34744	73.61111111	6.2935	4.93E-05	235.809	0.71842	0.0025156	4.4047	3.7253e-321	0.56951	1.50E-10	5.5879e-321	0.092869	248.599	450.22
10.2	375.529	36608	0.00029695	0.00033129	1.33E-57	9.85E-58	0.19474	1.09E-10	14.037	0.00037775	6.5723	0.026215	2.33E-05	8.20E-09	0.058055	188.87	0.0034022	0.0022405	644.13	0.12867	0.0141	0.0006401	0.34534	73.75356128	6.2935	4.94E-05	234.2925	0.72164	0.0025153	4.4146	3.75e-321	0.57037	1.52E-10	5.6373e-321	0.093318	249.3725	450.22
10.3	375.463	36636	0.00029735	0.0003323	3.69E-58	2.70E-58	0.19493	1.10E-10	13.031	0.00035998	6.5889	0.02648	2.38E-05	8.29E-09	0.059343	185.23	0.0033544	0.0022412	644.32	0.13028	0.014253	0.0005964	0.34325	73.89601139	6.2935	4.95E-05	232.785	0.72482	0.0025152	4.4244	3.7845e-321	0.57123	1.54E-10	5.6867e-321	0.093769	250.1395	450.22
10.4	375.397	36665	0.00029775	0.0003333	1.03E-58	7.40E-59	0.19512	1.10E-10	12.09	0.00034315	6.6052	0.026745	2.44E-05	8.39E-09	0.060606	181.63	0.0033067	0.0022418	644.51	0.1319	0.014405	0.00055539	0.34117	74.03490028	6.2935	4.96E-05	231.2865	0.72795	0.0025151	4.4341	3.8092e-321	0.57209	1.55E-10	5.7312e-321	0.094222	250.9065	450.22
10.5	375.331	36694	0.00029814	0.0003343	2.85E-59	2.03E-59	0.1953	1.10E-10	11.211	0.00032723	6.6211	0.02701	2.50E-05	8.49E-09	0.061843	178.06	0.0032593	0.0022425	644.69	0.13352	0.014558	0.00051693	0.33912	74.17022794	6.2935	4.97E-05	229.797	0.73103	0.0025152	4.4438	3.8438e-321	0.57295	1.57E-10	5.7806e-321	0.094676	251.667	450.22
