skip 																														
 Z (m)	  Az (m2)	 Tz (deg C)	    Cz (mg/m3)	  POCz (mg/m3)	  TPz (mg/m3)	 DOPz (mg/m3)	    Chlaz (mg/m3)	   DOCz (mg/m3)	    TPz_sed (mg/m3)	 Chlaz_sed (mg/m3)	"   Fvol_IM (m3/m3, dry w.)"	 Hice (m)	 Hsnow (m)	 O2z (mg/m3)	 DICz (mg/m3)	 NO3z (mg/m3)	 NH4z (mg/m3)	 SO4z (mg/m3)	 HSz (mg/m3)	 H2Sz (mg/m3)	 Fe2z (mg/m3)	 Ca2z (mg/m3)	 pHz (mg/m3)	 CH4aqz (mg/m3)	 Fe3z (mg/m3)	 Al3z (mg/m3)	 FeSz (mg/m3)	 CaCO3z (mg/m3)	 CH4gz (mg/m3)	 POPz (mg/m3)
11.5	6.78E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
12	6.41E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
12.5	6.05E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
13	5.69E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
13.5	5.37E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
14	5.05E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
14.5	4.76E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
15	4.46E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
15.5	4.18E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
16	3.90E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
16.5	3.67E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
17	3.43E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
17.5	3.23E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
18	3.03E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
18.5	2.84E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
19	2.65E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
19.5	2.49E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
20	2.32E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
20.5	2.18E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
21	2.04E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
21.5	1.91E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
22	1.78E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
22.5	1.68E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
23	1.57E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
23.5	1.48E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
24	1.38E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
24.5	1.29E+06	2.7588	1.0678	403.07	17.715	6.4671	1.0678	7.2909	0	0	0	0	0	12617	17158	5253	26.782	3997.4	1.55E-05	0	1.49E-05	67.909	7	0	894.58	146.36	0	468.86	2.4689	20.534
