z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
12.3	296.13	9414.2	0.00024483	0.00025928	5.2274e-69	2.6822e-69	0.25253	1.4191e-10	427.07	12.761	0.78403	0.026287	3.955e-09	2.9952e-11	0.0024188	228.13	88.083	0.0011368	326.82	7.2943e-05	0.069324	0.88839	0.3187	97.485	5.8149	1e-05	361.06	0.077059	0.0063391	2.3339	4.333e-321	0.37239	7.6074e-13	6.6995e-321	1474.6	82.109	28.98
12.4	296.22	9414.5	0.00024492	0.0002592	1.453e-69	7.3481e-70	0.25275	1.4203e-10	421.4	12.761	0.78353	0.026542	4.0992e-09	3.0594e-11	0.0024202	226.29	88.083	0.0011371	326.91	7.4005e-05	0.069954	0.88796	0.31883	98.134	5.8149	1e-05	358.8	0.076941	0.0063301	2.3303	4.3626e-321	0.3725	7.776e-13	6.7489e-321	1480.5	82.681	29.202
12.5	296.32	9414.8	0.00024501	0.00025912	4.0387e-70	2.0131e-70	0.25297	1.4215e-10	415.82	12.761	0.78302	0.026797	4.2484e-09	3.1247e-11	0.0024216	224.46	88.082	0.0011374	327	7.5073e-05	0.070583	0.88753	0.31895	98.78	5.8149	1e-05	356.55	0.076823	0.0063212	2.3267	4.3873e-321	0.37261	7.9464e-13	6.7983e-321	1486.3	83.25	29.424
12.6	296.41	9415.1	0.0002451	0.00025906	1.1226e-70	5.515e-71	0.25318	1.4227e-10	410.31	12.761	0.78252	0.027053	4.4026e-09	3.1911e-11	0.0024229	222.65	88.081	0.0011377	327.08	7.6144e-05	0.071212	0.8871	0.31905	99.422	5.8149	1e-05	354.32	0.076707	0.0063124	2.3231	4.4169e-321	0.37272	8.1185e-13	6.8477e-321	1492.1	83.814	29.646
12.7	296.51	9415.4	0.0002452	0.000259	3.1202e-71	1.5109e-71	0.25338	1.4238e-10	404.87	12.761	0.78203	0.027309	4.5621e-09	3.2586e-11	0.0024243	220.85	88.08	0.001138	327.17	7.722e-05	0.07184	0.88667	0.31914	100.06	5.8149	1e-05	352.1	0.076592	0.0063037	2.3195	4.4466e-321	0.37283	8.2922e-13	6.8922e-321	1497.7	84.375	29.867
12.8	296.6	9415.7	0.00024529	0.00025895	8.6728e-72	4.1392e-72	0.25358	1.425e-10	399.51	12.761	0.78153	0.027565	4.7269e-09	3.3273e-11	0.0024256	219.06	88.079	0.0011383	327.25	7.83e-05	0.072467	0.88625	0.31922	100.7	5.8149	1e-05	349.9	0.076477	0.006295	2.316	4.4713e-321	0.37294	8.4677e-13	6.9416e-321	1503.3	84.931	30.087
12.9	296.69	9415.9	0.00024538	0.00025891	2.4106e-72	1.134e-72	0.25378	1.4261e-10	394.22	12.761	0.78104	0.027822	4.8973e-09	3.3971e-11	0.0024269	217.28	88.079	0.0011386	327.34	7.9384e-05	0.073093	0.88583	0.31929	101.33	5.8149	1e-05	347.71	0.076364	0.0062864	2.3125	4.5009e-321	0.37305	8.6448e-13	6.991e-321	1508.8	85.484	30.307
13	296.78	9416.1	0.00024548	0.00025888	6.7005e-73	3.1066e-73	0.25397	1.4272e-10	389.01	12.761	0.78056	0.02808	5.0735e-09	3.4682e-11	0.0024282	215.52	88.078	0.0011389	327.42	8.0471e-05	0.073718	0.88541	0.31935	101.96	5.8149	1e-05	345.54	0.076252	0.0062779	2.3091	4.5256e-321	0.37316	8.8236e-13	7.0404e-321	1514.3	86.033	30.526
13.1	296.87	9416.3	0.00024557	0.00025886	1.8624e-73	8.5109e-74	0.25416	1.4282e-10	383.86	12.76	0.78007	0.028337	5.2555e-09	3.5404e-11	0.0024294	213.77	88.077	0.0011392	327.51	8.1563e-05	0.074343	0.88499	0.3194	102.58	5.8149	1e-05	343.39	0.076141	0.0062695	2.3057	4.5503e-321	0.37327	9.004e-13	7.0898e-321	1519.6	86.578	30.744
13.2	296.96	9416.5	0.00024567	0.00025884	5.1767e-74	2.3316e-74	0.25435	1.4293e-10	378.79	12.76	0.77959	0.028595	5.4436e-09	3.6139e-11	0.0024307	212.03	88.076	0.0011395	327.59	8.2657e-05	0.074966	0.88457	0.31943	103.2	5.8149	1e-05	341.24	0.07603	0.0062612	2.3023	4.575e-321	0.37338	9.1859e-13	7.1343e-321	1524.9	87.12	30.962
13.3	297.05	9416.7	0.00024577	0.00025884	1.4389e-74	6.3877e-75	0.25453	1.4303e-10	373.78	12.76	0.77912	0.028854	5.638e-09	3.6886e-11	0.0024319	210.3	88.076	0.0011397	327.68	8.3756e-05	0.075589	0.88416	0.31946	103.82	5.8149	1e-05	339.12	0.075921	0.0062529	2.2989	4.5948e-321	0.37349	9.3693e-13	7.1837e-321	1530.2	87.657	31.18
13.4	297.14	9416.9	0.00024586	0.00025884	3.9995e-75	1.75e-75	0.2547	1.4313e-10	368.85	12.76	0.77865	0.029112	5.8389e-09	3.7646e-11	0.0024331	208.59	88.075	0.00114	327.76	8.4857e-05	0.07621	0.88374	0.31948	104.43	5.8149	1e-05	337.01	0.075813	0.0062447	2.2956	4.6245e-321	0.3736	9.5543e-13	7.2331e-321	1535.3	88.191	31.396
13.5	297.23	9417	0.00024596	0.00025885	1.1117e-75	4.7942e-76	0.25488	1.4322e-10	363.98	12.76	0.77818	0.029372	6.0464e-09	3.8418e-11	0.0024343	206.88	88.074	0.0011403	327.84	8.5962e-05	0.07683	0.88333	0.31949	105.04	5.8149	1e-05	334.91	0.075706	0.0062366	2.2923	4.6442e-321	0.37371	9.7408e-13	7.2825e-321	1540.4	88.721	31.612
13.6	297.32	9417.2	0.00024606	0.00025887	3.09e-76	1.3134e-76	0.25505	1.4332e-10	359.17	12.76	0.77771	0.029631	6.2608e-09	3.9203e-11	0.0024355	205.19	88.073	0.0011406	327.93	8.7069e-05	0.07745	0.88292	0.31949	105.65	5.8149	1e-05	332.83	0.0756	0.0062286	2.2891	4.6739e-321	0.37382	9.9286e-13	7.3369e-321	1545.4	89.247	31.827
13.7	297.41	9417.3	0.00024616	0.0002589	8.5887e-77	3.5982e-77	0.25521	1.4341e-10	354.43	12.76	0.77725	0.029891	6.4823e-09	4.0001e-11	0.0024367	203.52	88.072	0.0011409	328.01	8.818e-05	0.078068	0.88252	0.31948	106.25	5.8149	1e-05	330.77	0.075496	0.0062206	2.2858	4.6936e-321	0.37393	1.0118e-12	7.3912e-321	1550.4	89.769	32.042
13.8	297.49	9417.4	0.00024626	0.00025894	2.3873e-77	9.8577e-78	0.25537	1.435e-10	349.76	12.76	0.77679	0.030151	6.711e-09	4.0813e-11	0.0024379	201.85	88.072	0.0011412	328.09	8.9293e-05	0.078685	0.88211	0.31946	106.85	5.8149	1e-05	328.72	0.075392	0.0062127	2.2826	4.7134e-321	0.37404	1.0309e-12	7.4357e-321	1555.3	90.288	32.256
13.9	297.58	9417.5	0.00024636	0.00025898	6.6355e-78	2.7006e-78	0.25553	1.4359e-10	345.15	12.759	0.77634	0.030411	6.9473e-09	4.1638e-11	0.002439	200.2	88.071	0.0011415	328.17	9.0409e-05	0.0793	0.88171	0.31943	107.45	5.8149	1e-05	326.68	0.075289	0.0062049	2.2795	4.7331e-321	0.37416	1.0501e-12	7.4851e-321	1560.1	90.802	32.469
14	297.67	9417.6	0.00024646	0.00025903	1.8444e-78	7.3985e-79	0.25569	1.4368e-10	340.6	12.759	0.77589	0.030672	7.1913e-09	4.2477e-11	0.0024401	198.56	88.07	0.0011417	328.25	9.1527e-05	0.079915	0.88131	0.3194	108.04	5.8149	1e-05	324.66	0.075187	0.0061972	2.2763	4.7529e-321	0.37427	1.0694e-12	7.5345e-321	1564.8	91.313	32.682
14.1	297.75	9417.6	0.00024656	0.00025909	5.1265e-79	2.0269e-79	0.25584	1.4376e-10	336.11	12.759	0.77544	0.030933	7.4433e-09	4.3329e-11	0.0024412	196.93	88.069	0.001142	328.33	9.2647e-05	0.080528	0.88091	0.31936	108.63	5.8149	1e-05	322.66	0.075086	0.0061896	2.2732	4.7776e-321	0.37438	1.0889e-12	7.5839e-321	1569.5	91.821	32.893
14.2	297.84	9417.7	0.00024666	0.00025916	1.4249e-79	5.5529e-80	0.25599	1.4385e-10	331.68	12.759	0.775	0.031195	7.7034e-09	4.4195e-11	0.0024423	195.31	88.069	0.0011423	328.41	9.377e-05	0.081139	0.88051	0.31931	109.21	5.8149	1e-05	320.67	0.074987	0.006182	2.2702	4.7974e-321	0.37449	1.1085e-12	7.6284e-321	1574.2	92.324	33.104
14.3	297.92	9417.7	0.00024676	0.00025923	3.9607e-80	1.5213e-80	0.25613	1.4393e-10	327.32	12.759	0.77456	0.031457	7.972e-09	4.5076e-11	0.0024434	193.71	88.068	0.0011426	328.49	9.4895e-05	0.08175	0.88012	0.31925	109.79	5.8149	1e-05	318.69	0.074888	0.0061745	2.2671	4.8171e-321	0.37461	1.1282e-12	7.6778e-321	1578.7	92.824	33.315
14.4	298	9417.8	0.00024686	0.00025931	1.1009e-80	4.1676e-81	0.25627	1.4401e-10	323.01	12.759	0.77412	0.031719	8.2493e-09	4.5971e-11	0.0024444	192.11	88.067	0.0011429	328.57	9.6021e-05	0.082359	0.87972	0.31918	110.37	5.8149	1e-05	316.73	0.07479	0.0061671	2.2641	4.8369e-321	0.37472	1.148e-12	7.7272e-321	1583.2	93.32	33.524
14.5	298.09	9417.8	0.00024696	0.00025939	3.06e-81	1.1418e-81	0.25641	1.4409e-10	318.76	12.759	0.77369	0.031981	8.5355e-09	4.688e-11	0.0024455	190.53	88.066	0.0011431	328.65	9.7149e-05	0.082966	0.87933	0.31911	110.94	5.8149	1e-05	314.79	0.074694	0.0061598	2.2612	4.8616e-321	0.37483	1.168e-12	7.7766e-321	1587.7	93.812	33.733
