z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
25.8	359.11	9849.1	0.00031486	0.00037513	9.3802e-145	2.0001e-145	0.29625	1.6648e-10	60.942	18.14	0.57884	0.063697	1.589e-07	2.4652e-10	0.0039347	90.327	80.632	0.0013177	378.85	0.018225	2.2919	0.93331	0.0033095	192	5.815	1e-05	26.156	0.085684	0.0071192	2.5896	6.7786e-321	0.73723	6.8231e-09	1.1971e-320	619.88	450.56	497.42
25.9	359.11	9848.9	0.00031489	0.00037518	2.6073e-145	5.4795e-146	0.29624	1.6647e-10	60.415	18.137	0.57879	0.063975	1.6123e-07	2.4923e-10	0.0039339	89.84	80.631	0.0013178	378.88	0.018268	2.2956	0.93256	0.0033062	192.08	5.815	1e-05	26.062	0.085665	0.0071178	2.589	6.7835e-321	0.73772	6.8442e-09	1.1986e-320	619.77	450.86	497.5
26	359.1	9848.8	0.00031491	0.00037524	7.247e-146	1.5012e-146	0.29622	1.6646e-10	59.902	18.134	0.57874	0.064252	1.6354e-07	2.5193e-10	0.003933	89.366	80.629	0.0013179	378.9	0.018309	2.2992	0.93183	0.0033029	192.15	5.815	1e-05	25.971	0.085647	0.0071164	2.5885	6.7934e-321	0.7382	6.8649e-09	1.2006e-320	619.65	451.15	497.58
26.1	359.1	9848.6	0.00031493	0.00037529	2.0143e-146	4.1125e-147	0.29621	1.6646e-10	59.402	18.132	0.57869	0.06453	1.6584e-07	2.5463e-10	0.0039322	88.904	80.628	0.001318	378.93	0.01835	2.3028	0.93111	0.0032997	192.22	5.815	1e-05	25.881	0.08563	0.007115	2.5879	6.8033e-321	0.73866	6.885e-09	1.2021e-320	619.53	451.44	497.66
26.2	359.09	9848.5	0.00031496	0.00037534	5.599e-147	1.1267e-147	0.2962	1.6645e-10	58.916	18.13	0.57864	0.064807	1.6811e-07	2.5731e-10	0.0039314	88.453	80.627	0.0013181	378.95	0.01839	2.3062	0.93041	0.0032966	192.28	5.815	1e-05	25.794	0.085613	0.0071137	2.5874	6.8082e-321	0.73912	6.9048e-09	1.204e-320	619.42	451.72	497.73
26.3	359.09	9848.4	0.00031498	0.00037539	1.5563e-147	3.0866e-148	0.29619	1.6645e-10	58.443	18.127	0.57859	0.065085	1.7036e-07	2.5999e-10	0.0039306	88.015	80.625	0.0013182	378.98	0.018429	2.3096	0.92972	0.0032936	192.35	5.815	1e-05	25.71	0.085596	0.0071124	2.5869	6.823e-321	0.73956	6.924e-09	1.206e-320	619.31	451.99	497.8
26.4	359.08	9848.3	0.000315	0.00037544	4.3257e-148	8.456e-149	0.29618	1.6644e-10	57.984	18.125	0.57854	0.065362	1.7259e-07	2.6265e-10	0.0039298	87.588	80.624	0.0013183	379	0.018467	2.3128	0.92906	0.0032907	192.41	5.815	1e-05	25.627	0.08558	0.0071111	2.5864	6.8329e-321	0.73999	6.9428e-09	1.208e-320	619.2	452.26	497.87
26.5	359.08	9848.2	0.00031502	0.00037548	1.2023e-148	2.3166e-149	0.29617	1.6643e-10	57.538	18.123	0.5785	0.06564	1.7479e-07	2.6529e-10	0.003929	87.174	80.623	0.0013183	379.02	0.018504	2.316	0.9284	0.0032878	192.47	5.815	1e-05	25.547	0.085564	0.0071099	2.5859	6.8379e-321	0.74042	6.961e-09	1.2095e-320	619.09	452.52	497.94
26.6	359.07	9848.1	0.00031504	0.00037553	3.342e-149	6.3466e-150	0.29616	1.6643e-10	57.105	18.121	0.57846	0.065918	1.7696e-07	2.6792e-10	0.0039283	86.771	80.622	0.0013184	379.05	0.01854	2.3191	0.92777	0.003285	192.53	5.815	1e-05	25.469	0.085549	0.0071087	2.5854	6.8477e-321	0.74083	6.9788e-09	1.2114e-320	618.99	452.77	498
26.7	359.07	9848	0.00031506	0.00037557	9.2892e-150	1.7387e-150	0.29615	1.6642e-10	56.685	18.119	0.57842	0.066196	1.791e-07	2.7053e-10	0.0039276	86.38	80.621	0.0013185	379.07	0.018575	2.3221	0.92715	0.0032823	192.58	5.815	1e-05	25.393	0.085534	0.0071076	2.585	6.8576e-321	0.74122	6.9961e-09	1.2129e-320	618.89	453.01	498.06
26.8	359.06	9847.9	0.00031508	0.00037561	2.582e-150	4.7633e-151	0.29614	1.6642e-10	56.278	18.117	0.57838	0.066474	1.8121e-07	2.7313e-10	0.0039269	86.001	80.62	0.0013186	379.09	0.018609	2.3251	0.92655	0.0032796	192.64	5.815	1e-05	25.32	0.08552	0.0071064	2.5845	6.8725e-321	0.74161	7.013e-09	1.2144e-320	618.79	453.25	498.12
26.9	359.06	9847.8	0.00031509	0.00037565	7.1767e-151	1.305e-151	0.29613	1.6641e-10	55.884	18.115	0.57834	0.066751	1.8329e-07	2.757e-10	0.0039262	85.634	80.618	0.0013186	379.11	0.018642	2.3279	0.92597	0.003277	192.69	5.815	1e-05	25.249	0.085506	0.0071053	2.5841	6.8873e-321	0.74199	7.0293e-09	1.2154e-320	618.69	453.48	498.18
27	359.05	9847.8	0.00031511	0.00037569	1.9948e-151	3.575e-152	0.29613	1.6641e-10	55.503	18.113	0.5783	0.067029	1.8533e-07	2.7825e-10	0.0039255	85.278	80.617	0.0013187	379.13	0.018674	2.3307	0.9254	0.0032745	192.74	5.815	1e-05	25.18	0.085492	0.0071043	2.5837	6.8922e-321	0.74235	7.0451e-09	1.2169e-320	618.6	453.7	498.23
27.1	359.05	9847.7	0.00031513	0.00037572	5.5447e-152	9.7941e-153	0.29612	1.664e-10	55.135	18.111	0.57827	0.067307	1.8733e-07	2.8078e-10	0.0039248	84.934	80.616	0.0013188	379.15	0.018705	2.3334	0.92485	0.0032721	192.79	5.815	1e-05	25.113	0.085479	0.0071033	2.5833	6.8922e-321	0.74271	7.0605e-09	1.2189e-320	618.5	453.92	498.28
27.2	359.05	9847.6	0.00031514	0.00037576	1.5412e-152	2.6832e-153	0.29611	1.664e-10	54.78	18.109	0.57823	0.067586	1.8929e-07	2.8328e-10	0.0039242	84.602	80.615	0.0013188	379.17	0.018736	2.3359	0.92432	0.0032698	192.84	5.815	1e-05	25.049	0.085467	0.0071023	2.5829	6.8922e-321	0.74305	7.0753e-09	1.2203e-320	618.41	454.12	498.33
27.3	359.04	9847.6	0.00031516	0.00037579	4.2837e-153	7.3508e-154	0.2961	1.6639e-10	54.437	18.107	0.5782	0.067864	1.912e-07	2.8575e-10	0.0039236	84.282	80.614	0.0013189	379.19	0.018765	2.3384	0.92381	0.0032675	192.88	5.815	1e-05	24.987	0.085455	0.0071013	2.5825	6.8922e-321	0.74338	7.0897e-09	1.2213e-320	618.33	454.33	498.38
27.4	359.04	9847.5	0.00031517	0.00037582	1.1907e-153	2.0138e-154	0.29609	1.6639e-10	54.107	18.106	0.57817	0.068142	1.9307e-07	2.882e-10	0.003923	83.973	80.614	0.001319	379.2	0.018793	2.3409	0.92331	0.0032654	192.93	5.815	1e-05	24.927	0.085443	0.0071004	2.5821	6.8922e-321	0.7437	7.1035e-09	1.2223e-320	618.24	454.52	498.43
27.5	359.04	9847.4	0.00031519	0.00037585	3.3096e-154	5.5171e-155	0.29608	1.6639e-10	53.79	18.104	0.57814	0.06842	1.949e-07	2.9062e-10	0.0039224	83.676	80.613	0.001319	379.22	0.01882	2.3432	0.92284	0.0032633	192.97	5.815	1e-05	24.869	0.085431	0.0070995	2.5818	6.9021e-321	0.744	7.1169e-09	1.2233e-320	618.16	454.71	498.47
27.6	359.03	9847.4	0.0003152	0.00037588	9.1991e-155	1.5115e-155	0.29608	1.6638e-10	53.486	18.102	0.57811	0.068698	1.9668e-07	2.93e-10	0.0039219	83.391	80.612	0.0013191	379.24	0.018846	2.3454	0.92238	0.0032613	193.01	5.815	1e-05	24.813	0.085421	0.0070987	2.5815	6.912e-321	0.7443	7.1297e-09	1.2243e-320	618.08	454.89	498.51
27.7	359.03	9847.4	0.00031521	0.00037591	2.5569e-155	4.1408e-156	0.29607	1.6638e-10	53.194	18.101	0.57809	0.068977	1.984e-07	2.9536e-10	0.0039213	83.118	80.611	0.0013191	379.25	0.018871	2.3476	0.92193	0.0032593	193.05	5.815	1e-05	24.76	0.08541	0.0070978	2.5811	6.9219e-321	0.74458	7.1421e-09	1.2253e-320	618	455.06	498.55
27.8	359.03	9847.3	0.00031523	0.00037594	7.1071e-156	1.1344e-156	0.29606	1.6637e-10	52.915	18.099	0.57806	0.069255	2.0008e-07	2.9768e-10	0.0039208	82.856	80.61	0.0013192	379.27	0.018895	2.3496	0.92151	0.0032575	193.08	5.815	1e-05	24.709	0.0854	0.0070971	2.5808	6.9268e-321	0.74486	7.1539e-09	1.2258e-320	617.93	455.22	498.59
27.9	359.02	9847.3	0.00031524	0.00037596	1.9755e-156	3.1078e-157	0.29606	1.6637e-10	52.648	18.098	0.57804	0.069533	2.0169e-07	2.9996e-10	0.0039203	82.605	80.61	0.0013192	379.28	0.018918	2.3516	0.9211	0.0032557	193.12	5.815	1e-05	24.661	0.085391	0.0070963	2.5805	6.9367e-321	0.74512	7.1652e-09	1.2273e-320	617.86	455.38	498.63
28	359.02	9847.2	0.00031525	0.00037598	5.4909e-157	8.5141e-158	0.29605	1.6637e-10	52.394	18.097	0.57801	0.069812	2.0326e-07	3.022e-10	0.0039199	82.366	80.609	0.0013193	379.29	0.01894	2.3535	0.92072	0.003254	193.15	5.815	1e-05	24.614	0.085381	0.0070956	2.5802	6.9416e-321	0.74537	7.176e-09	1.2282e-320	617.79	455.53	498.66
28.1	359.02	9847.2	0.00031526	0.00037601	1.5262e-157	2.3325e-158	0.29604	1.6636e-10	52.152	18.095	0.57799	0.07009	2.0476e-07	3.0441e-10	0.0039194	82.139	80.608	0.0013193	379.31	0.018961	2.3553	0.92035	0.0032524	193.18	5.815	1e-05	24.57	0.085373	0.0070949	2.58	6.9416e-321	0.7456	7.1863e-09	1.2297e-320	617.73	455.67	498.69
28.2	359.01	9847.2	0.00031527	0.00037603	4.2422e-158	6.3901e-159	0.29604	1.6636e-10	51.923	18.094	0.57797	0.070369	2.062e-07	3.0657e-10	0.003919	81.924	80.608	0.0013194	379.32	0.018981	2.357	0.92	0.0032508	193.21	5.815	1e-05	24.528	0.085365	0.0070943	2.5797	6.9416e-321	0.74583	7.196e-09	1.2312e-320	617.67	455.81	498.72
28.3	359.01	9847.2	0.00031528	0.00037605	1.1791e-158	1.7506e-159	0.29603	1.6636e-10	51.706	18.093	0.57795	0.070648	2.0758e-07	3.0869e-10	0.0039186	81.72	80.607	0.0013194	379.33	0.019	2.3586	0.91966	0.0032494	193.24	5.815	1e-05	24.488	0.085357	0.0070937	2.5795	6.9466e-321	0.74604	7.2053e-09	1.2322e-320	617.61	455.94	498.75
28.4	359.01	9847.1	0.00031529	0.00037607	3.2775e-159	4.796e-160	0.29603	1.6635e-10	51.502	18.092	0.57793	0.070926	2.089e-07	3.1077e-10	0.0039182	81.528	80.606	0.0013194	379.34	0.019018	2.3601	0.91935	0.003248	193.27	5.815	1e-05	24.451	0.085349	0.0070931	2.5793	6.9515e-321	0.74624	7.214e-09	1.2327e-320	617.55	456.06	498.78
28.5	359.01	9847.1	0.0003153	0.00037608	9.1099e-160	1.3139e-160	0.29602	1.6635e-10	51.31	18.091	0.57792	0.071205	2.1015e-07	3.128e-10	0.0039178	81.347	80.606	0.0013195	379.35	0.019035	2.3615	0.91905	0.0032467	193.29	5.815	1e-05	24.415	0.085343	0.0070925	2.579	6.9614e-321	0.74643	7.2222e-09	1.2342e-320	617.5	456.17	498.8
28.6	359	9847.1	0.0003153	0.0003761	2.5321e-160	3.5996e-161	0.29602	1.6635e-10	51.13	18.09	0.5779	0.071484	2.1133e-07	3.1478e-10	0.0039175	81.178	80.605	0.0013195	379.36	0.01905	2.3629	0.91878	0.0032455	193.31	5.815	1e-05	24.382	0.085336	0.007092	2.5788	6.9713e-321	0.74661	7.2299e-09	1.2352e-320	617.45	456.28	498.83
28.7	359	9847.1	0.00031531	0.00037611	7.0382e-161	9.8613e-162	0.29601	1.6635e-10	50.963	18.089	0.57789	0.071763	2.1244e-07	3.1672e-10	0.0039172	81.02	80.605	0.0013195	379.37	0.019065	2.3641	0.91852	0.0032444	193.33	5.815	1e-05	24.352	0.08533	0.0070916	2.5787	6.9762e-321	0.74677	7.237e-09	1.2362e-320	617.41	456.38	498.85
28.8	359	9847.1	0.00031532	0.00037613	1.9563e-161	2.7016e-162	0.29601	1.6634e-10	50.808	18.088	0.57787	0.072041	2.1348e-07	3.1861e-10	0.0039169	80.874	80.604	0.0013196	379.38	0.019079	2.3653	0.91828	0.0032433	193.35	5.815	1e-05	24.323	0.085325	0.0070911	2.5785	6.9811e-321	0.74693	7.2437e-09	1.2366e-320	617.36	456.47	498.87
28.9	359	9847	0.00031532	0.00037614	5.4376e-162	7.4013e-163	0.29601	1.6634e-10	50.666	18.088	0.57786	0.07232	2.1445e-07	3.2044e-10	0.0039166	80.74	80.604	0.0013196	379.39	0.019091	2.3664	0.91806	0.0032424	193.37	5.815	1e-05	24.297	0.085319	0.0070907	2.5783	6.9811e-321	0.74707	7.2498e-09	1.2376e-320	617.33	456.56	498.89
29	359	9847	0.00031533	0.00037615	1.5114e-162	2.0277e-163	0.296	1.6634e-10	50.536	18.087	0.57785	0.072599	2.1534e-07	3.2223e-10	0.0039164	80.617	80.604	0.0013196	379.39	0.019103	2.3673	0.91786	0.0032415	193.39	5.815	1e-05	24.273	0.085315	0.0070904	2.5782	6.9811e-321	0.7472	7.2554e-09	1.2391e-320	617.29	456.63	498.9
29.1	359	9847	0.00031533	0.00037616	4.201e-163	5.5549e-164	0.296	1.6634e-10	50.418	18.086	0.57784	0.072878	2.1615e-07	3.2396e-10	0.0039161	80.506	80.603	0.0013196	379.4	0.019113	2.3682	0.91767	0.0032407	193.4	5.815	1e-05	24.251	0.08531	0.00709	2.578	6.9811e-321	0.74731	7.2604e-09	1.2396e-320	617.26	456.7	498.92
29.2	358.99	9847	0.00031534	0.00037617	1.1677e-163	1.5218e-164	0.296	1.6634e-10	50.313	18.086	0.57783	0.073157	2.1689e-07	3.2563e-10	0.0039159	80.407	80.603	0.0013197	379.41	0.019122	2.369	0.91751	0.00324	193.42	5.815	1e-05	24.232	0.085307	0.0070897	2.5779	6.9811e-321	0.74742	7.2649e-09	1.2396e-320	617.23	456.77	498.93
29.3	358.99	9847	0.00031534	0.00037618	3.2457e-164	4.1692e-165	0.29599	1.6633e-10	50.22	18.085	0.57782	0.073436	2.1754e-07	3.2725e-10	0.0039158	80.319	80.603	0.0013197	379.41	0.019131	2.3697	0.91737	0.0032394	193.43	5.815	1e-05	24.215	0.085303	0.0070895	2.5778	6.9811e-321	0.74751	7.2689e-09	1.2396e-320	617.2	456.82	498.94
29.4	358.99	9847	0.00031535	0.00037619	9.0215e-165	1.1422e-165	0.29599	1.6633e-10	50.139	18.085	0.57781	0.073715	2.1811e-07	3.2881e-10	0.0039156	80.243	80.603	0.0013197	379.41	0.019138	2.3703	0.91724	0.0032388	193.44	5.815	1e-05	24.2	0.0853	0.0070892	2.5777	6.9811e-321	0.74759	7.2724e-09	1.2396e-320	617.18	456.87	498.95
29.5	358.99	9847	0.00031535	0.00037619	2.5076e-165	3.1291e-166	0.29599	1.6633e-10	50.071	18.085	0.57781	0.073995	2.186e-07	3.3031e-10	0.0039155	80.178	80.602	0.0013197	379.42	0.019144	2.3708	0.91713	0.0032384	193.45	5.815	1e-05	24.187	0.085298	0.0070891	2.5777	6.9811e-321	0.74766	7.2753e-09	1.2396e-320	617.16	456.91	498.96
29.6	358.99	9847	0.00031535	0.0003762	6.9702e-166	8.5728e-167	0.29599	1.6633e-10	50.015	18.084	0.5778	0.074274	2.19e-07	3.3175e-10	0.0039154	80.125	80.602	0.0013197	379.42	0.019149	2.3713	0.91705	0.003238	193.46	5.815	1e-05	24.177	0.085296	0.0070889	2.5776	6.9811e-321	0.74771	7.2777e-09	1.2406e-320	617.14	456.95	498.97
29.7	358.99	9847	0.00031535	0.0003762	1.9382e-166	2.3495e-167	0.29599	1.6633e-10	49.971	18.084	0.5778	0.074553	2.1931e-07	3.3311e-10	0.0039153	80.084	80.602	0.0013197	379.42	0.019153	2.3716	0.91698	0.0032377	193.46	5.815	1e-05	24.169	0.085294	0.0070888	2.5776	6.9811e-321	0.74776	7.2796e-09	1.2411e-320	617.13	456.97	498.98
29.8	358.99	9847	0.00031535	0.0003762	5.417e-167	6.4702e-168	0.29599	1.6633e-10	49.94	18.084	0.5778	0.074832	2.1954e-07	3.3438e-10	0.0039152	80.055	80.602	0.0013197	379.43	0.019155	2.3718	0.91693	0.0032375	193.46	5.815	1e-05	24.163	0.085293	0.0070887	2.5775	6.9811e-321	0.74779	7.2809e-09	1.2416e-320	617.12	456.99	498.98
29.9	358.99	9847	0.00031536	0.0003762	1.6124e-167	1.8949e-168	0.29599	1.6633e-10	49.921	18.084	0.5778	0.075112	2.1968e-07	3.3542e-10	0.0039152	80.037	80.602	0.0013197	379.43	0.019157	2.372	0.9169	0.0032374	193.47	5.815	1e-05	24.16	0.085293	0.0070886	2.5775	6.9811e-321	0.74781	7.2817e-09	1.2416e-320	617.12	457	498.98
30	358.99	9847	0.00031536	0.0003762	8.3205e-168	9.6577e-169	0.29599	1.6633e-10	49.915	18.084	0.57779	0.075391	2.1972e-07	3.3572e-10	0.0039152	80.031	80.602	0.0013197	379.43	0.019158	2.372	0.91689	0.0032373	193.47	5.815	1e-05	24.158	0.085292	0.0070886	2.5775	6.9811e-321	0.74781	7.282e-09	1.2416e-320	617.12	457.01	498.98
