z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
19.9	342.85	10679	0.00030404	0.00036078	1.8645e-111	3.579e-112	0.28156	1.5823e-10	52.595	19.01	1.6533	0.030339	7.3134e-08	1.3861e-10	0.003278	74.063	77.255	0.001363	391.86	0.058861	4.8606	0.10027	0.13346	3.2821e-320	5.815	3.1623e-05	11.318	0.29995	0.0024817	2.8651	5.9486e-321	1.0085	6.9083e-09	1.0114e-320	252.99	516.75	0.028523
20	342.75	10674	0.00030422	0.00036116	5.1824e-112	9.8051e-113	0.28156	1.5822e-10	51.673	18.997	1.6523	0.030503	7.6751e-08	1.4147e-10	0.0032787	73.121	77.247	0.0013632	391.92	0.059221	4.8805	0.10005	0.13365	3.2821e-320	5.815	3.1623e-05	11.218	0.29996	0.002482	2.8651	5.9733e-321	1.0084	6.965e-09	1.0148e-320	253.03	518.25	0.028595
20.1	342.64	10669	0.00030441	0.00036154	1.4405e-112	2.6862e-113	0.28155	1.5822e-10	50.77	18.984	1.6514	0.030667	8.0468e-08	1.4438e-10	0.0032793	72.192	77.239	0.0013634	391.99	0.05958	4.9002	0.099841	0.13383	3.2821e-320	5.815	3.1623e-05	11.12	0.29997	0.0024823	2.8652	5.993e-321	1.0084	7.0214e-09	1.0193e-320	253.06	519.74	0.028665
20.2	342.54	10665	0.00030459	0.00036191	4.0039e-113	7.3591e-114	0.28154	1.5821e-10	49.884	18.971	1.6504	0.030832	8.4287e-08	1.4734e-10	0.0032799	71.277	77.231	0.0013636	392.05	0.059936	4.9199	0.099631	0.13401	3.2821e-320	5.815	3.1623e-05	11.023	0.29997	0.0024826	2.8653	6.0128e-321	1.0084	7.0775e-09	1.0232e-320	253.09	521.22	0.028736
20.3	342.44	10660	0.00030477	0.00036227	1.1129e-113	2.0161e-114	0.28153	1.5821e-10	49.016	18.958	1.6495	0.030996	8.8205e-08	1.5035e-10	0.0032805	70.376	77.224	0.0013639	392.11	0.06029	4.9393	0.099423	0.13418	3.2821e-320	5.815	3.1623e-05	10.928	0.29998	0.0024828	2.8653	6.0276e-321	1.0084	7.1333e-09	1.0272e-320	253.11	522.68	0.028805
20.4	342.34	10655	0.00030495	0.00036263	3.0934e-114	5.5232e-115	0.28152	1.582e-10	48.164	18.945	1.6486	0.031161	9.2226e-08	1.5341e-10	0.0032811	69.488	77.216	0.0013641	392.17	0.060643	4.9586	0.099217	0.13436	3.2821e-320	5.815	3.1623e-05	10.834	0.29999	0.0024831	2.8654	6.0424e-321	1.0083	7.1887e-09	1.0306e-320	253.13	524.13	0.028874
20.5	342.24	10651	0.00030512	0.00036298	8.5981e-115	1.5131e-115	0.28151	1.582e-10	47.33	18.932	1.6477	0.031325	9.6347e-08	1.5653e-10	0.0032817	68.613	77.208	0.0013643	392.23	0.060993	4.9778	0.099013	0.13453	3.2821e-320	5.815	3.1623e-05	10.742	0.3	0.0024834	2.8655	6.0572e-321	1.0083	7.2439e-09	1.0341e-320	253.15	525.56	0.028942
20.6	342.14	10646	0.00030529	0.00036333	2.3899e-115	4.1454e-116	0.2815	1.5819e-10	46.511	18.92	1.6468	0.03149	1.0057e-07	1.597e-10	0.0032823	67.752	77.2	0.0013645	392.29	0.06134	4.9968	0.098811	0.1347	3.2821e-320	5.815	3.1623e-05	10.651	0.30001	0.0024836	2.8655	6.0721e-321	1.0083	7.2987e-09	1.0375e-320	253.17	526.98	0.029009
20.7	342.04	10642	0.00030546	0.00036367	6.6428e-116	1.1357e-116	0.28149	1.5819e-10	45.709	18.907	1.6459	0.031655	1.0489e-07	1.6291e-10	0.0032828	66.903	77.192	0.0013647	392.35	0.061686	5.0157	0.098612	0.13486	3.2821e-320	5.815	3.1623e-05	10.561	0.30001	0.0024839	2.8656	6.0869e-321	1.0082	7.3532e-09	1.041e-320	253.18	528.38	0.029076
20.8	341.95	10638	0.00030563	0.00036401	1.8464e-116	3.1113e-117	0.28149	1.5818e-10	44.923	18.895	1.6451	0.031819	1.0932e-07	1.6619e-10	0.0032834	66.067	77.185	0.0013649	392.41	0.062029	5.0344	0.098414	0.13503	3.2821e-320	5.815	3.1623e-05	10.473	0.30002	0.0024842	2.8657	6.1067e-321	1.0082	7.4073e-09	1.044e-320	253.19	529.77	0.029142
20.9	341.85	10633	0.00030579	0.00036434	5.1322e-117	8.5236e-118	0.28148	1.5818e-10	44.152	18.883	1.6442	0.031984	1.1384e-07	1.6951e-10	0.0032839	65.244	77.177	0.0013651	392.47	0.062369	5.0529	0.098219	0.13519	3.2821e-320	5.815	3.1623e-05	10.387	0.30003	0.0024844	2.8658	6.1215e-321	1.0082	7.4611e-09	1.0479e-320	253.19	531.15	0.029207
21	341.76	10629	0.00030596	0.00036466	1.4265e-117	2.3351e-118	0.28147	1.5817e-10	43.396	18.871	1.6434	0.032149	1.1847e-07	1.7289e-10	0.0032844	64.433	77.17	0.0013653	392.53	0.062708	5.0713	0.098026	0.13535	3.2821e-320	5.815	3.1623e-05	10.302	0.30004	0.0024847	2.8658	6.1412e-321	1.0081	7.5146e-09	1.0514e-320	253.2	532.51	0.029272
21.1	341.67	10625	0.00030612	0.00036498	3.965e-118	6.3972e-119	0.28146	1.5817e-10	42.656	18.859	1.6426	0.032314	1.2319e-07	1.7633e-10	0.0032849	63.635	77.162	0.0013655	392.58	0.063044	5.0896	0.097835	0.13551	3.2821e-320	5.815	3.1623e-05	10.218	0.30005	0.002485	2.8659	6.1659e-321	1.0081	7.5676e-09	1.0548e-320	253.2	533.86	0.029336
21.2	341.57	10621	0.00030627	0.0003653	1.1021e-118	1.7526e-119	0.28145	1.5816e-10	41.93	18.847	1.6418	0.032479	1.2802e-07	1.7981e-10	0.0032854	62.85	77.155	0.0013657	392.64	0.063377	5.1076	0.097646	0.13566	3.2821e-320	5.815	3.1623e-05	10.135	0.30006	0.0024852	2.866	6.1808e-321	1.008	7.6203e-09	1.0583e-320	253.2	535.19	0.0294
21.3	341.48	10617	0.00030643	0.0003656	3.0634e-119	4.8014e-120	0.28144	1.5816e-10	41.219	18.835	1.641	0.032644	1.3294e-07	1.8336e-10	0.0032859	62.076	77.148	0.0013659	392.69	0.063708	5.1256	0.097459	0.13582	3.2821e-320	5.815	3.1623e-05	10.054	0.30007	0.0024855	2.8661	6.1956e-321	1.008	7.6726e-09	1.0627e-320	253.2	536.51	0.029462
