25.3049	0.0593304	3.78	0.71
25.3156	0	0.4	3.58283
25.3237	0	0.38	0
17.116	1.56398	3.72	6.37
14.8994	0.900665	1.6	3.05
13.8567	0.627948	5.86	2.28
14.2008	0	2.14	0
14.4589	0	1.28	0
14.6525	0	4.17	0
14.7977	0	3.07	0
14.9066	0	5.41	0
14.9883	0	5.71	0
14.5145	0.543291	1.09	2.28
14.5688	0	-3.13	10.8204
14.6095	0	-5.92	0
14.64	0	-7.97	0
14.6629	0	-4.2	0
14.6801	0	-2.9	7.44285
14.693	0	-4.77	1.56043
14.7027	0	-0.57	0
4.9204	9.12361	6.72	0.94
4.51342	5.29453	5.47	0
6.64687	0	1.68	0
7.86606	0	1.88	0
7.66379	2.28	4.07	2.28
8.51656	0	5.37	0
9.02178	0	5.94	0
9.33351	0	2.98	0
9.53372	0	-0.08	0
9.66709	0	-2.08	0.739152
9.75871	0	-4.79	0
9.82323	0	-4.52	0.646758
9.86952	0	-4.07	1.06766
9.90319	0	-3.18	0
9.92792	0	-3.73	0
9.9462	0	-1.06	10.1223
9.95978	0	-1.8	7.77136
9.9699	0	-6.32	0
9.97746	0	-8.64	0
9.98311	0	-10.92	0
9.98734	0	-10.78	0
9.99051	0	-4.42	0
9.99288	0	-10.09	0
9.99466	0	-5.36	0
9.996	0	0.04	0
9.997	0	-0.7	0
9.99775	0	-3.39	0
9.99831	0	-6.65	0
9.99873	0	-4.01	0
9.99905	0	-4.94	0
9.99929	0	-3.47	0
9.99947	0	-6.32	0
9.9996	0	-5.34	0
9.9997	0	-6.01	0
9.99977	0	-4.17	0
9.99983	0	-2.57	0
9.99987	0	-4.84	0
9.9999	0	-3.1	0
9.99993	0	-2.01	0.739152
9.99995	0	-2.63	1.56043
9.99996	0	-5.76	0
9.99997	0	-0.2	0
9.99998	0	0.77	0.390108
9.92781	0.135119	1.56	0
9.95775	0	0.04	0
8.84574	0.763851	2.17	0
6.56553	2.15112	3.3	0
1.96055	10.5922	6.21	0
4.88992	1.04922	3.48	0
6.92264	0	0.75	0
8.06958	0	-0.99	0
8.74098	0	2.15	0
9.15014	0	1.36	0
8.00736	2.44298	2.02	3.05
8.46203	0.71	1.94	0.71
8.97279	0.21	2.02	0.21
6.67942	4.57806	2.66	5.5
8.04633	0	3.5	0
8.80313	0	0.53	0
2.07746	14.4074	1.66	14.65
5.39585	0	0.83	4.39385
7.21577	0	0.1	0.739152
7.68239	1.09535	1.57	0
8.5105	0	-0.41	0.882876
8.72349	0.54463	1.13	0.46
9.14532	0	-0.3	0
9.41033	0	0.26	2.82315
9.58342	0	1	0.728886
9.70041	0	0.67	0.728886
6.7117	5.80934	2.03	3.83
5.75988	4.57308	2.01	2.33
7.41061	0.08463	1.13	0
8.38045	0	0.02	0.739152
5.99573	5.87888	1.28	5.54
