732420,9.6
732427,8.4
732436,7
732441,4.5
732448,8.1
732455,12
732462,5.8
732470,9
732476,8.4
732484,9.3
732490,9.3
732497,6.9
732504,7.5
732504,7.5
732511,7.3
732518,11
732525,12.8
732533,10.4
732539,12.4
732546,11.9
732554,11.1
732559,10
732568,16.6
732574,9.3
732581,9.3
732582,9.3
732588,10.3
732595,11.8
732763,4.3
732799,12.5
732805,15
732812,15.2
732819,12
732826,15.9
732834,11.6
732840,9.5
732847,118
732855,7.8
732861,50
732869,12
732875,10
732882,9
732889,10
732896,12.9
732903,9.1
732910,8.8
732918,9.4
732924,6.8
732931,8.8
732938,9
732945,9.2
732953,11.4
732959,12
733143,16
733148,12.8
733155,7.1
733164,15.2
733169,14.4
733177,12.8
733184,12.8
733192,11.4
733197,14.9
733204,12.3
733211,17.4
733218,10.5
733225,10
733232,15
733239,15.9
733246,11.2
733255,12.9
733260,11.9
733267,12.6
733274,14.8
733281,9.6
733288,11.5
733295,10.5
733305,10.4
733309,12.9
733316,10.6
733323,9.8
733331,9.4
733515,23.1
733519,21.3
733526,26.8
733533,17.2
733541,19.6
733551,14.4
733554,15.6
733561,17.5
733568,3.2
733575,14.6
733582,14.4
733589,12
733596,11.9
733604,14
733610,13
733617,13
733624,10.8
733631,10.1
733638,6.4
733645,13.6
733652,10.4
733659,6.6
733666,5.2
733673,11
733680,12.6
733687,16.5
733694,16.4
733890,14.9
733897,15.2
733904,15.6
733908,5.8
733918,11.4
733932,12.6
733939,11.3
733946,12.9
733953,11
733960,9.2
733967,11
733974,11
733981,11
733988,10
733995,10.2
734002,13.2
734009,10.5
734016,14
734023,12.7
734030,13
734037,10.9
734044,12.4
734051,10.8
734058,12.2
734254,15.5
734261,15.3
734268,13.9
734276,12.4
734283,12.3
734289,11.2
734296,14.4
734303,11.6
734310,11.6
734317,11.8
734324,11.2
734331,10.7
734338,9
734345,11.2
734353,9.5
734359,10.8
734366,10.8
734381,11.4
734387,1.3
734395,10
734401,9.6
734408,11.7
734415,9.4
734422,12.3
734619,13.9
734626,17.6
734632,13.2
734641,13.2
734646,13.4
734653,17.1
734660,10.9
734668,10.6
734674,14.2
734681,11.2
734688,12.6
734696,11.6
734702,10.5
734709,9.4
734716,14.6
734723,10.6
