Oxygen	OMA	OMB	NO3	FeOH3	SO4	NH4	Fe2	FeOOH	H2S	HS	FeS	S0	PO4	S8	FeS2	AlOH3	PO4adsa	PO4adsb	Ca2	Ca3PO4	OMS	OH	CO2	CO3	HCO3	NH3	H	H2CO3
0.053582913	3.55E-06	0.031774002	0.154018096	11.30749316	0.638000001	2.13E-08	1.27E-09	0	5.31E-11	5.08E-11	0	6.45E-11	6.72E-07	8.63E-12	0	2.261538123	2.28E-05	0	0.039999999	1.61E-08	2.08E-12	0.073543415	9.960075069	2.19E-05	0.062386849	8.90E-11	0.135974105	0.016932128
0.054715698	2.55E-06	0.031500934	0.154018632	11.30748983	0.638000001	2.10E-08	1.19E-09	0	4.91E-11	4.69E-11	0	6.78E-11	6.48E-07	9.36E-12	0	2.261538107	2.39E-05	0	0.039999999	1.64E-08	2.15E-12	0.073543415	9.960075069	2.19E-05	0.062386849	8.82E-11	0.135974105	0.016932128
0.055819571	1.85E-06	0.031119198	0.154019157	11.30748727	0.638000002	2.06E-08	1.13E-09	0	4.54E-11	4.34E-11	0	7.11E-11	6.27E-07	1.01E-11	0	2.261538092	2.49E-05	0	0.039999999	1.67E-08	2.23E-12	0.073543415	9.960075069	2.19E-05	0.062386849	8.70E-11	0.135974105	0.016932128
0.056895194	1.36E-06	0.030653066	0.154019673	11.30748537	0.638000002	2.02E-08	1.07E-09	0	4.21E-11	4.02E-11	0	7.44E-11	6.07E-07	1.09E-11	0	2.261538078	2.59E-05	0	0.039999999	1.68E-08	2.29E-12	0.073543415	9.96007507	2.19E-05	0.062386849	8.53E-11	0.135974105	0.016932128
0.057943174	1.00E-06	0.030125735	0.154020178	11.30748403	0.638000002	1.98E-08	1.01E-09	0	3.91E-11	3.74E-11	0	7.76E-11	5.90E-07	1.16E-11	0	2.261538065	2.68E-05	0	0.039999999	1.69E-08	2.35E-12	0.073543414	9.96007507	2.19E-05	0.062386849	8.37E-11	0.135974106	0.016932128
0.058964067	7.52E-07	0.02955852	0.154020672	11.30748314	0.638000002	1.94E-08	9.57E-10	0	3.64E-11	3.48E-11	0	8.08E-11	5.74E-07	1.24E-11	0	2.261538052	2.77E-05	0	0.039999999	1.70E-08	2.41E-12	0.073543414	9.96007507	2.19E-05	0.062386849	8.20E-11	0.135974106	0.016932128
0.059958377	5.67E-07	0.028970283	0.154021156	11.30748258	0.638000002	1.90E-08	9.09E-10	0	3.39E-11	3.24E-11	0	8.40E-11	5.59E-07	1.32E-11	0	2.26153804	2.85E-05	0	0.039999999	1.70E-08	2.46E-12	0.073543414	9.96007507	2.19E-05	0.062386848	8.04E-11	0.135974106	0.016932128
0.060926555	4.31E-07	0.028377076	0.154021629	11.30748224	0.638000002	1.87E-08	8.64E-10	0	3.17E-11	3.03E-11	0	8.71E-11	5.46E-07	1.41E-11	0	2.261538028	2.93E-05	0	0.039999999	1.70E-08	2.51E-12	0.073543414	9.96007507	2.19E-05	0.062386848	7.87E-11	0.135974106	0.016932128
0.061869004	3.29E-07	0.027792002	0.154022091	11.30748204	0.638000002	1.83E-08	8.23E-10	0	2.96E-11	2.83E-11	0	9.02E-11	5.34E-07	1.49E-11	0	2.261538017	3.00E-05	0	0.039999999	1.70E-08	2.55E-12	0.073543414	9.96007507	2.19E-05	0.062386848	7.71E-11	0.135974106	0.016932128
0.062786078	2.53E-07	0.027225243	0.154022542	11.30748189	0.638000002	1.80E-08	7.84E-10	0	2.79E-11	2.66E-11	0	9.33E-11	5.24E-07	1.58E-11	0	2.261538007	3.07E-05	0	0.039999999	1.70E-08	2.59E-12	0.073543414	9.96007507	2.19E-05	0.062386848	7.54E-11	0.135974107	0.016932128
