732420,4.7
732427,3.6
732436,2.8
732441,3.1
732448,3.7
732455,6.2
732462,4.3
732470,6.9
732476,6.3
732484,8
732490,8.3
732497,6.4
732504,5.3
732504,5.3
732504,1.2
732511,6
732518,7.5
732525,9.7
732533,7.2
732539,8.3
732546,8.4
732554,7.3
732559,9
732567,6.1
732574,5.7
732582,4.6
732588,9.5
732595,5.2
732799,1.1
732805,3.2
732812,5.3
732819,3.5
732826,8.6
732834,6.8
732841,7.1
732847,7.3
732855,8.7
732861,9
732868,9.5
732875,13
732882,14
732889,15
732896,10
732903,11
732910,8.7
732918,6.8
732924,4.6
732931,4.8
732938,4.4
732945,5
732953,3.4
732959,4.1
733143,0.75
733148,1.5
733155,1.4
733164,5.1
733169,5.1
733177,5.1
733184,5.6
733191,6.6
733197,5.3
733204,5.7
733211,9.1
733218,10
733225,10.02
733232,11
733239,14
733246,11
733255,12
733261,11
733267,12
733274,11
733281,11
733288,7.9
733295,8.1
733305,6.8
733309,6.2
733316,5.8
733323,5
733331,5.4
733515,1.4
733519,2
733526,1.8
733533,2.1
733541,7.2
733551,5.2
733554,7.3
733561,7.2
733568,5.2
733575,5.8
733582,4.8
733589,8.2
733596,8.5
733604,11
733610,11
733617,13
733624,12
733631,16
733638,14
733645,12
733652,7.1
733659,4.2
733666,3.8
733673,5.1
733680,4.4
733687,3.4
733694,3.3
733890,2.9
733897,5.4
733904,4
733908,7.1
733918,6.7
733932,8
733939,7.3
733946,8.5
733953,6.7
733960,5.8
733967,6.8
733974,8.7
733988,7.1
733995,7.9
734002,8.2
734009,8.3
734012,6.5
734016,8.5
734023,7.4
734030,8.4
734037,7.2
734044,7.8
734051,9.1
734058,9.3
734261,2.6
734268,3.5
734276,5.2
734283,4
734289,6
734296,7.1
734303,6.6
734310,6.2
734317,9.2
734324,6.3
734331,6.6
734338,7.3
734345,9.8
734353,1.3
734359,8.8
734366,7.9
734381,9.6
734387,8.3
734395,4.7
734401,3.9
734408,3.3
734415,2.9
734422,2.5
734619,4.5
734626,11
734632,9
734641,8.2
734646,8.4
734653,7.7
734660,6.3
734668,6.7
734674,8.8
734681,13
734688,8.6
734696,7.4
734702,6.8
734709,6.5
734716,7.5
734723,6.5
